date,imports_usd_cif,imports_fob_usd,imports_kg,n_records
2024-01-01,5821415365.0,781232287.0,437468344.0,33392
2024-02-01,5484340336.0,736323194.0,392384436.0,32513
2024-03-01,6066174575.0,813378034.0,496014530.0,33170
2024-04-01,5797492712.0,777546241.0,442835134.0,34204
2024-05-01,5780101690.0,774967294.0,489755811.0,31524
2024-06-01,4860119666.0,650598455.0,350975568.0,30595
2024-07-01,7338998874.0,979316465.0,600697081.0,34537
2024-08-01,5513590944.0,728490594.0,461957186.0,30393
2024-09-01,4947705314.0,652223107.0,407150846.0,30114
2024-10-01,5577002755.0,740302235.0,533534461.0,31761
2024-11-01,5519311916.0,733524818.0,515125216.0,30746
2024-12-01,6233374949.0,824830971.0,557934700.0,32302
2025-01-01,5416373265.0,716049131.0,478033027.0,30479
2025-02-01,5634629937.0,747984181.0,546425879.0,29511
2025-03-01,4452438269.0,591509870.0,374516087.0,30173
2025-04-01,6432506892.0,857443157.0,672575965.0,31711
2025-05-01,5415049967.0,721551578.0,513939498.0,30883
2025-06-01,5121557092.0,683524200.0,489920153.0,28225
2025-07-01,5673492546.0,755521752.0,532606632.0,32304
2025-08-01,6743099660.0,893910473.0,683625020.0,31153
2025-09-01,5541858005.0,733991898.0,480122424.0,32156
2025-10-01,6803778590.0,901921619.0,649743254.0,34465
2025-11-01,6590998423.0,874720449.0,618130339.0,32682
2025-12-01,8940301421.0,828103098.0,537614749.0,34807
2026-01-01,4431103935.0,581960279.0,373379650.0,32547
2026-02-01,5454019830.0,724152351.0,505232649.0,30799
