year,department,isic_section,sector_label,value
2017,beni,,Impuestos netos de subvenciones a los productos,808.9142682749446
2017,beni,,PRODUCTO  INTERNO  BRUTO(1),10381.25664730993
2017,beni,,VALOR AGREGADO BRUTO,9572.342379034986
2017,beni,A,"Agricultura, ganaderia, silvicultura y pesca",1316.3345235226464
2017,beni,B,Actividad extractiva,570.329306338084
2017,beni,C,Industrias manufactureras,1115.5892044415277
2017,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",135.10782559838304
2017,beni,F,Construcción,723.0653535272868
2017,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,646.1049799730201
2017,beni,H,Transporte y almacenamiento,684.5230425034388
2017,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,576.1666708341819
2017,beni,J,Comunicación e informaciones,230.66021815868413
2017,beni,K,Actividades financieras y de seguros,254.01446009669445
2017,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1098.9930181788081
2017,beni,O,Administracion publica,332.12312136177184
2017,beni,P,Enseñanza,995.315563093309
2017,beni,Q,Actividades de atencion de la salud humana y de asistencia social,508.59017916209916
2017,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",385.42491224505466
2018,beni,,Impuestos netos de subvenciones a los productos,868.4142749170169
2018,beni,,PRODUCTO  INTERNO  BRUTO(1),11229.750517560333
2018,beni,,VALOR AGREGADO BRUTO,10361.336242643316
2018,beni,A,"Agricultura, ganaderia, silvicultura y pesca",1357.8364181294126
2018,beni,B,Actividad extractiva,711.1891813678993
2018,beni,C,Industrias manufactureras,1453.6265018668817
2018,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",147.01530723361597
2018,beni,F,Construcción,667.8755033850881
2018,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,794.9241898433836
2018,beni,H,Transporte y almacenamiento,716.5456765466909
2018,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,595.2631172741895
2018,beni,J,Comunicación e informaciones,238.28940484327907
2018,beni,K,Actividades financieras y de seguros,266.59772035095426
2018,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1012.5265658650059
2018,beni,O,Administracion publica,338.8290884841046
2018,beni,P,Enseñanza,1072.3578062120766
2018,beni,Q,Actividades de atencion de la salud humana y de asistencia social,557.5259772505307
2018,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",430.93378399020384
2019,beni,,Impuestos netos de subvenciones a los productos,963.0648238022991
2019,beni,,PRODUCTO  INTERNO  BRUTO(1),12008.355893415319
2019,beni,,VALOR AGREGADO BRUTO,11047.094969868418
2019,beni,A,"Agricultura, ganaderia, silvicultura y pesca",1438.823871609581
2019,beni,B,Actividad extractiva,704.5788279550626
2019,beni,C,Industrias manufactureras,1440.4003788071839
2019,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",173.69735307502685
2019,beni,F,Construcción,980.2637145061636
2019,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,784.7402852440487
2019,beni,H,Transporte y almacenamiento,796.989629843026
2019,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,604.068686879523
2019,beni,J,Comunicación e informaciones,242.07237254296328
2019,beni,K,Actividades financieras y de seguros,279.17127356823954
2019,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1154.358935769977
2019,beni,O,Administracion publica,381.5204283571418
2019,beni,P,Enseñanza,1047.0402705918273
2019,beni,Q,Actividades de atencion de la salud humana y de asistencia social,595.997016482214
2019,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",435.137529585154
2020,beni,,Impuestos netos de subvenciones a los productos,741.4137225489707
2020,beni,,PRODUCTO  INTERNO  BRUTO(1),10681.99588731253
2020,beni,,VALOR AGREGADO BRUTO,9928.565761105583
2020,beni,A,"Agricultura, ganaderia, silvicultura y pesca",1498.8239576673798
2020,beni,B,Actividad extractiva,647.0988682723403
2020,beni,C,Industrias manufactureras,1233.483837457892
2020,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",160.19861023891255
2020,beni,F,Construcción,681.8452874373071
2020,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,658.8533309307383
2020,beni,H,Transporte y almacenamiento,576.7015562883611
2020,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,448.1057175481928
2020,beni,J,Comunicación e informaciones,222.29473451677623
2020,beni,K,Actividades financieras y de seguros,271.99256839155356
