year,department,isic_section,sector_label,value
2018,beni,,Impuestos netos de subvenciones a los productos,0.5731484025827485
2018,beni,,PRODUCTO INTERNO BRUTO,8.173325244495032
2018,beni,,VALOR AGREGADO BRUTO,7.6001768419122895
2018,beni,A,"Agricultura, ganaderia, silvicultura y pesca",0.3997771755071723
2018,beni,B,Actividad extractiva,1.3568672831753548
2018,beni,C,Industrias manufactureras,3.256227149657733
2018,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.1147017364060494
2018,beni,F,Construcción,-0.531629763305195
2018,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,1.4335375275490039
2018,beni,H,Transporte y almacenamiento,0.308465873941668
2018,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,0.1839512025257174
2018,beni,J,Comunicación e informaciones,0.0734900113135327
2018,beni,K,Actividades financieras y de seguros,0.12121133964567259
2018,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",-0.832909302326209
2018,beni,O,Administracion publica,0.06459687251899722
2018,beni,P,Enseñanza,0.7421282965654382
2018,beni,Q,Actividades de atencion de la salud humana y de asistencia social,0.471386073487665
2018,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.4383753652496565
2019,beni,,Impuestos netos de subvenciones a los productos,0.8019562228969028
2019,beni,,PRODUCTO INTERNO BRUTO,6.9334165050012055
2019,beni,,VALOR AGREGADO BRUTO,6.131460282104322
2019,beni,A,"Agricultura, ganaderia, silvicultura y pesca",0.7188465371907806
2019,beni,B,Actividad extractiva,-0.058110860192114956
2019,beni,C,Industrias manufactureras,-0.11462428289647483
2019,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.2444979718227882
2019,beni,F,Construcción,2.5863685895474253
2019,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,-0.08795046238177033
2019,beni,H,Transporte y almacenamiento,0.7446719106298713
2019,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,0.08339732771860552
2019,beni,J,Comunicación e informaciones,0.02996420873846143
2019,beni,K,Actividades financieras y de seguros,0.10458104256450829
2019,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1.2727605690284356
2019,beni,O,Administracion publica,0.4164028875808007
2019,beni,P,Enseñanza,-0.23191731747441532
2019,beni,Q,Actividades de atencion de la salud humana y de asistencia social,0.3852578539074964
2019,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.037314306319899015
2020,beni,,Impuestos netos de subvenciones a los productos,-1.6430319900275685
2020,beni,,PRODUCTO INTERNO BRUTO,-11.045308932175189
2020,beni,,VALOR AGREGADO BRUTO,-9.402276942147607
2020,beni,A,"Agricultura, ganaderia, silvicultura y pesca",0.4995268783338849
2020,beni,B,Actividad extractiva,-0.5302659881610874
2020,beni,C,Industrias manufactureras,-1.5171261977090058
