year,department,isic_section,sector_label,value
2018,beni,,Impuestos netos de subvenciones a los productos,7.355539267339097
2018,beni,,PRODUCTO  INTERNO  BRUTO(1),8.173325244495032
2018,beni,,VALOR AGREGADO BRUTO,8.24243254541706
2018,beni,A,"Agricultura, ganaderia, silvicultura y pesca",3.1528379652083345
2018,beni,B,Actividad extractiva,24.69798999708341
2018,beni,C,Industrias manufactureras,30.301234189029117
2018,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",8.813317498446537
2018,beni,F,Construcción,-7.632760976994575
2018,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,23.033286305358274
2018,beni,H,Transporte y almacenamiento,4.6780943890710915
2018,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,3.3143962340548967
2018,beni,J,Comunicación e informaciones,3.307543340371936
2018,beni,K,Actividades financieras y de seguros,4.953757455173928
2018,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",-7.867789047203402
2018,beni,O,Administracion publica,2.019120829298757
2018,beni,P,Enseñanza,7.740484121370557
2018,beni,Q,Actividades de atencion de la salud humana y de asistencia social,9.621852739872622
2018,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",11.807454655711112
2019,beni,,Impuestos netos de subvenciones a los productos,10.899239178711866
2019,beni,,PRODUCTO  INTERNO  BRUTO(1),6.933416505001205
2019,beni,,VALOR AGREGADO BRUTO,6.618439081271973
2019,beni,A,"Agricultura, ganaderia, silvicultura y pesca",5.964448471027055
2019,beni,B,Actividad extractiva,-0.9294789046315799
2019,beni,C,Industrias manufactureras,-0.9098707984968399
2019,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",18.14916170532605
2019,beni,F,Construcción,46.773419527704505
2019,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,-1.28111645480827
2019,beni,H,Transporte y almacenamiento,11.226632987868342
2019,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,1.4792735094449938
2019,beni,J,Comunicación e informaciones,1.587551784844237
2019,beni,K,Actividades financieras y de seguros,4.716301850118313
2019,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",14.007767764967554
2019,beni,O,Administracion publica,12.59966789275235
2019,beni,P,Enseñanza,-2.3609223967585393
2019,beni,Q,Actividades de atencion de la salud humana y de asistencia social,6.900313313005668
2019,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.9754968747230492
2020,beni,,Impuestos netos de subvenciones a los productos,-23.015179848249716
2020,beni,,PRODUCTO  INTERNO  BRUTO(1),-11.045308932175189
2020,beni,,VALOR AGREGADO BRUTO,-10.125098153077232
2020,beni,A,"Agricultura, ganaderia, silvicultura y pesca",4.170078578879725
2020,beni,B,Actividad extractiva,-8.158059453695131
2020,beni,C,Industrias manufactureras,-14.365210145296032
2020,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",-7.771415394156094
2020,beni,F,Construcción,-30.442667891588087
2020,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,-16.041862088698608
2020,beni,H,Transporte y almacenamiento,-27.6400175492939
2020,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,-25.818747556175822
2020,beni,J,Comunicación e informaciones,-8.170134335621839
2020,beni,K,Actividades financieras y de seguros,-2.571434046537462
2020,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",-6.978230982928849
2020,beni,O,Administracion publica,-11.427449873408449
2020,beni,P,Enseñanza,0.2402914896786399
2020,beni,Q,Actividades de atencion de la salud humana y de asistencia social,16.17633089343076
2020,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",-18.348046990129177
2021,beni,,Impuestos netos de subvenciones a los productos,4.044355122039647
2021,beni,,PRODUCTO  INTERNO  BRUTO(1),5.7799204797520645
2021,beni,,VALOR AGREGADO BRUTO,5.877544622078744
2021,beni,A,"Agricultura, ganaderia, silvicultura y pesca",5.354476663223352
2021,beni,B,Actividad extractiva,-6.754998654165263
2021,beni,C,Industrias manufactureras,10.834808715721621
2021,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",-1.3337685629973066
2021,beni,F,Construcción,-13.860224284473205
2021,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,18.129787191431205
2021,beni,H,Transporte y almacenamiento,18.457828092952482
2021,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,23.140224107733758
2021,beni,J,Comunicación e informaciones,3.135222248803842
2021,beni,K,Actividades financieras y de seguros,0.4214168909552001
2021,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",6.400127655476112
2021,beni,O,Administracion publica,4.304701903484556
2021,beni,P,Enseñanza,0.6761677508586956
2021,beni,Q,Actividades de atencion de la salud humana y de asistencia social,4.5967989511159715
2021,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",21.024730277454907
2022,beni,,Impuestos netos de subvenciones a los productos,17.750750463730313
2022,beni,,PRODUCTO  INTERNO  BRUTO(1),8.608758435998197
2022,beni,,VALOR AGREGADO BRUTO,8.047545598542442
2022,beni,A,"Agricultura, ganaderia, silvicultura y pesca",7.720725436183386
2022,beni,B,Actividad extractiva,-1.129905576166479
2022,beni,C,Industrias manufactureras,7.4760254780228195
2022,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",5.161772575725635
2022,beni,F,Construcción,81.21660805054972
2022,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,8.536695716097526
2022,beni,H,Transporte y almacenamiento,-10.006203987116109
2022,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,14.04403444002699
2022,beni,J,Comunicación e informaciones,8.54939845752709
2022,beni,K,Actividades financieras y de seguros,-0.3772208762851079
2022,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",16.42777595038413
2022,beni,O,Administracion publica,-5.7625168007850505
2022,beni,P,Enseñanza,2.896304824557376
2022,beni,Q,Actividades de atencion de la salud humana y de asistencia social,0.19530817679893175
2022,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",-4.472273005622242
2023,beni,,Impuestos netos de subvenciones a los productos,-1.0463344206898313
2023,beni,,PRODUCTO  INTERNO  BRUTO(1),4.594242776962048
2023,beni,,VALOR AGREGADO BRUTO,5.001640848874558
2023,beni,A,"Agricultura, ganaderia, silvicultura y pesca",16.468867587738757
2023,beni,B,Actividad extractiva,10.022006490504111
2023,beni,C,Industrias manufactureras,-2.351557086041794
2023,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",9.593417680695723
2023,beni,F,Construcción,-12.793108396966105
2023,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,8.184590091842807
2023,beni,H,Transporte y almacenamiento,-7.3847791085303385
2023,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,4.134649793027464
2023,beni,J,Comunicación e informaciones,8.505424939657445
2023,beni,K,Actividades financieras y de seguros,9.570513185465927
2023,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",12.35666599444123
2023,beni,O,Administracion publica,-1.9795399659743964
2023,beni,P,Enseñanza,3.9296672673884387
2023,beni,Q,Actividades de atencion de la salud humana y de asistencia social,10.83872830488859
2023,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.2554418910070524
2024,beni,,Impuestos netos de subvenciones a los productos,-1.7395551490999424
2024,beni,,PRODUCTO  INTERNO  BRUTO(1),2.115501769203675
2024,beni,,VALOR AGREGADO BRUTO,2.385413265327614
2024,beni,A,"Agricultura, ganaderia, silvicultura y pesca",-3.3581992502427767
2024,beni,B,Actividad extractiva,29.1240644448699
2024,beni,C,Industrias manufactureras,2.3432828681710873
2024,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.6723080712621083
2024,beni,F,Construcción,3.2210627465032076
2024,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,-5.358953847008337
2024,beni,H,Transporte y almacenamiento,5.193155984300859
2024,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,2.355702814123916
2024,beni,J,Comunicación e informaciones,3.708720518777554
2024,beni,K,Actividades financieras y de seguros,1.4170910670450212
2024,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",-5.438910493048752
2024,beni,O,Administracion publica,1.633672874326237
2024,beni,P,Enseñanza,1.3446773061694017
2024,beni,Q,Actividades de atencion de la salud humana y de asistencia social,1.1835201506607405
2024,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",7.396283044836949
2018,chuquisaca,,Impuestos netos de subvenciones a los productos,3.4145729509412774
2018,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),3.3772206792916535
2018,chuquisaca,,VALOR AGREGADO BRUTO,3.3745472036613506
2018,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",8.27317010285509
2018,chuquisaca,B,Actividad extractiva,4.255341186910599
2018,chuquisaca,C,Industrias manufactureras,4.488733757236574
2018,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",2.424472202873787
2018,chuquisaca,F,Construcción,-6.734669092448598
2018,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,10.829104530928817
2018,chuquisaca,H,Transporte y almacenamiento,4.671886994217786
2018,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,3.167423172673807
2018,chuquisaca,J,Comunicación e informaciones,-0.6193467783279516
2018,chuquisaca,K,Actividades financieras y de seguros,4.358170515377481
2018,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",6.809149674171678
2018,chuquisaca,O,Administracion publica,-3.9986588743079636
2018,chuquisaca,P,Enseñanza,5.165809061605813
2018,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,7.911757404362561
2018,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",-5.577603428575642
2019,chuquisaca,,Impuestos netos de subvenciones a los productos,-3.47969337112292
2019,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),1.0493799887152164
2019,chuquisaca,,VALOR AGREGADO BRUTO,1.3606288830923177
2019,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",2.027938842225268
2019,chuquisaca,B,Actividad extractiva,6.407704675805533
2019,chuquisaca,C,Industrias manufactureras,0.9316284305751736
2019,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",-1.8141358584886973
2019,chuquisaca,F,Construcción,-1.4061356282493307
2019,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,-1.6078870373316647
2019,chuquisaca,H,Transporte y almacenamiento,1.3782977651247421
2019,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,-0.8503789792681857
2019,chuquisaca,J,Comunicación e informaciones,-5.99067152850327
2019,chuquisaca,K,Actividades financieras y de seguros,7.007427327981588
2019,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",0.42321121539423245
2019,chuquisaca,O,Administracion publica,4.913577757310563
2019,chuquisaca,P,Enseñanza,-4.687200763033587
2019,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,7.473936025476348
2019,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",-12.99834071105927
2020,chuquisaca,,Impuestos netos de subvenciones a los productos,-26.55953657484328
2020,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),-12.092009417723588
2020,chuquisaca,,VALOR AGREGADO BRUTO,-11.19980589956154
2020,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",0.7886640602671378
2020,chuquisaca,B,Actividad extractiva,-6.7701526370748155
2020,chuquisaca,C,Industrias manufactureras,-24.59483544615641
2020,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",-7.505357156288284
2020,chuquisaca,F,Construcción,-42.50678118778895
2020,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,-23.227255965369977
2020,chuquisaca,H,Transporte y almacenamiento,-30.620948301448664
2020,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,-28.89376565667267
2020,chuquisaca,J,Comunicación e informaciones,-1.9746543077518766
