year,department,isic_section,sector_label,value
2017,beni,,Impuestos netos de subvenciones a los productos,100.0
2017,beni,,PRODUCTO  INTERNO  BRUTO(1),100.0
2017,beni,,VALOR AGREGADO BRUTO,100.0
2017,beni,A,"Agricultura, ganaderia, silvicultura y pesca",100.0
2017,beni,B,Actividad extractiva,100.0
2017,beni,C,Industrias manufactureras,100.0
2017,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",100.0
2017,beni,F,Construcción,100.0
2017,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,100.0
2017,beni,H,Transporte y almacenamiento,100.0
2017,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,100.0
2017,beni,J,Comunicación e informaciones,100.0
2017,beni,K,Actividades financieras y de seguros,100.0
2017,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",100.0
2017,beni,O,Administracion publica,100.0
2017,beni,P,Enseñanza,100.0
2017,beni,Q,Actividades de atencion de la salud humana y de asistencia social,100.0
2017,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",100.0
2018,beni,,Impuestos netos de subvenciones a los productos,107.3555392673391
2018,beni,,PRODUCTO  INTERNO  BRUTO(1),108.17332524449503
2018,beni,,VALOR AGREGADO BRUTO,108.24243254541707
2018,beni,A,"Agricultura, ganaderia, silvicultura y pesca",103.15283796520835
2018,beni,B,Actividad extractiva,124.69798999708341
2018,beni,C,Industrias manufactureras,130.30123418902912
2018,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",108.81331749844654
2018,beni,F,Construcción,92.36723902300541
2018,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,123.03328630535827
2018,beni,H,Transporte y almacenamiento,104.67809438907108
2018,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,103.3143962340549
2018,beni,J,Comunicación e informaciones,103.30754334037194
2018,beni,K,Actividades financieras y de seguros,104.95375745517393
2018,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",92.1322109527966
2018,beni,O,Administracion publica,102.01912082929876
2018,beni,P,Enseñanza,107.74048412137056
2018,beni,Q,Actividades de atencion de la salud humana y de asistencia social,109.62185273987262
2018,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",111.8074546557111
2019,beni,,Impuestos netos de subvenciones a los productos,119.05647626368234
2019,beni,,PRODUCTO  INTERNO  BRUTO(1),115.6734324310055
2019,beni,,VALOR AGREGADO BRUTO,115.4063920035224
2019,beni,A,"Agricultura, ganaderia, silvicultura y pesca",109.30533583204522
2019,beni,B,Actividad extractiva,123.53894848556091
2019,beni,C,Industrias manufactureras,129.11566130906215
2019,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",128.56202244816944
2019,beni,F,Construcción,135.57055523739334
2019,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,121.45708662960897
2019,beni,H,Transporte y almacenamiento,116.42991986482652
2019,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,104.84269872898831
2019,beni,J,Comunicación e informaciones,104.94760408855075
2019,beni,K,Actividades financieras y de seguros,109.90369345980098
2019,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",105.03787709979434
2019,beni,O,Administracion publica,114.87319124089616
2019,beni,P,Enseñanza,105.19681490137306
2019,beni,Q,Actividades de atencion de la salud humana y de asistencia social,117.18610403844552
2019,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",112.89813288158496
2020,beni,,Impuestos netos de subvenciones a los productos,91.65541413060711
2020,beni,,PRODUCTO  INTERNO  BRUTO(1),102.89694446655001
2020,beni,,VALOR AGREGADO BRUTO,103.72138153824068
2020,beni,A,"Agricultura, ganaderia, silvicultura y pesca",113.86345422714989
2020,beni,B,Actividad extractiva,113.46056761963906
2020,beni,C,Industrias manufactureras,110.5679252315267
2020,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",118.570933644594
2020,beni,F,Construcción,94.2992613476917
2020,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,101.97310829553588
2020,beni,H,Transporte y almacenamiento,84.24866958155962
2020,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,77.77362701306885
2020,beni,J,Comunicación e informaciones,96.3732438524996
2020,beni,K,Actividades financieras y de seguros,107.07759246777348
2020,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",97.70809141620579
2020,beni,O,Administracion publica,101.74611489385812
2020,beni,P,Enseñanza,105.44959389499405
2020,beni,Q,Actividades de atencion de la salud humana y de asistencia social,136.1425159888245
2020,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",92.18353040949327
2021,beni,,Impuestos netos de subvenciones a los productos,95.36228456662496
2021,beni,,PRODUCTO  INTERNO  BRUTO(1),108.84430603281123
2021,beni,,VALOR AGREGADO BRUTO,109.81765202078732
2021,beni,A,"Agricultura, ganaderia, silvicultura y pesca",119.96024631168261
2021,beni,B,Actividad extractiva,105.79630780392418
2021,beni,C,Industrias manufactureras,122.54774843130471
2021,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",116.98947180679002
2021,beni,F,Construcción,81.22917222630008
2021,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,120.46061582200421
2021,beni,H,Transporte y almacenamiento,99.79914418352345
2021,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,95.77061860060593
2021,beni,J,Comunicación e informaciones,99.39475923565716
2021,beni,K,Actividades financieras y de seguros,107.52883552886084
2021,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",103.96153399657226
2021,beni,O,Administracion publica,106.12598183841563
2021,beni,P,Enseñanza,106.16261004232346
2021,beni,Q,Actividades de atencion de la salud humana y de asistencia social,142.40071373582168
2021,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",111.56486903832484
2022,beni,,Impuestos netos de subvenciones a los productos,112.28980573655896
2022,beni,,PRODUCTO  INTERNO  BRUTO(1),118.21444941051459
2022,beni,,VALOR AGREGADO BRUTO,118.65527764240886
2022,beni,A,"Agricultura, ganaderia, silvicultura y pesca",129.22204756197695
2022,beni,B,Actividad extractiva,104.60090942266939
2022,beni,C,Industrias manufactureras,131.70944932677236
2022,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",123.02820227899917
2022,beni,F,Construcción,147.2007506560402
2022,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,130.74397205246595
2022,beni,H,Transporte y almacenamiento,89.81303823912398
2022,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,109.22067726030193
2022,beni,J,Comunicación e informaciones,107.8924132486132
2022,beni,K,Actividades financieras y de seguros,107.1232143132197
2022,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",121.04010187611156
2022,beni,O,Administracion publica,100.01045430497884
2022,beni,P,Enseñanza,109.2374028388553
2022,beni,Q,Actividades de atencion de la salud humana y de asistencia social,142.6788339735678
2022,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",106.57538351656603
2023,beni,,Impuestos netos de subvenciones a los productos,111.11487884821159
2023,beni,,PRODUCTO  INTERNO  BRUTO(1),123.64550821388261
2023,beni,,VALOR AGREGADO BRUTO,124.5899884783171
2023,beni,A,"Agricultura, ganaderia, silvicultura y pesca",150.50345546912374
2023,beni,B,Actividad extractiva,115.08401935413562
2023,beni,C,Industrias manufactureras,128.61222643814202
2023,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",134.83081158867478
2023,beni,F,Construcción,128.36919906346517
2023,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,141.44483023475382
2023,beni,H,Transporte y almacenamiento,83.18054375450478
2023,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,113.73656976658818
2023,beni,J,Comunicación e informaciones,117.06912147305903
2023,beni,K,Actividades financieras y de seguros,117.37545566376131
2023,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",135.99662298427404
2023,beni,O,Administracion publica,98.0307073918592
