year,sector,gva,department
1988,- Alimentos,74841.53273016872,beni
1988,- Bebidas y Tabaco,509.3508908393414,beni
1988,- Coca,0.0,beni
1988,- Comunicaciones,4700.420009896214,beni
1988,- Madera y Productos de Madera,3257.780130016007,beni
1988,- Minerales Metálicos y no Metálicos,19170.846697348756,beni
1988,- Otras Industrias Manufactureras,2207.7321983757242,beni
1988,- Petróleo Crudo y Gas Natural,0.0,beni
1988,- Productos Agrícolas Industriales,4317.4005393706375,beni
1988,- Productos Agrícolas no Industriales,34152.56632730048,beni
1988,- Productos Pecuarios,178485.99695881055,beni
1988,- Productos de Minerales no Metálicos,3367.898555364566,beni
1988,- Productos de Refinación del Petróleo,0.0,beni
1988,- Propiedad de Vivienda,34296.751776440404,beni
1988,- Servicios Financieros,8345.33719755735,beni
1988,- Servicios a las Empresas,6662.564039214398,beni
1988,"- Silvicultura, Caza y Pesca",31496.633988021513,beni
1988,"- Textiles, Prendas de Vestir y Productos del Cuero",8040.284214403471,beni
1988,- Transporte y Almacenamiento,26939.91746560874,beni
1988,"1. Agricultura, Silvicultura, Caza y Pesca",248452.59781350318,beni
1988,10. Restaurantes y Hoteles,20768.187541856754,beni
1988,11. Servicios de la Administración Pública,56280.106823276554,beni
1988,2. Extracción de Minas y Canteras,19170.846697348756,beni
1988,3. Industrias Manufactureras,92224.57871916782,beni
1988,"4. Electricidad, Gas y Agua",2980.8686404423156,beni
1988,5. Construcción,12096.321595095003,beni
1988,6. Comercio,48563.37970831264,beni
1988,"7. Transporte, Almacenamiento y Comunicaciones",31640.337475504955,beni
1988,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",49304.653013212155,beni
1988,"9. Servicios Comunales, Sociales, Personales y Domésticos",17998.779173192437,beni
1988,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",12333.121848715451,beni
1988,PRODUCTO INTERNO BRUTO (a precios básicos),593762.656521941,beni
1988,PRODUCTO INTERNO BRUTO (a precios de mercado),606095.7783706564,beni
1988,Servicios Bancarios Imputados,-5718.000678971522,beni
1989,- Alimentos,81821.07860408508,beni
1989,- Bebidas y Tabaco,536.2013836237218,beni
1989,- Coca,0.0,beni
1989,- Comunicaciones,5006.136449076235,beni
1989,- Madera y Productos de Madera,3567.3479975066184,beni
1989,- Minerales Metálicos y no Metálicos,20244.56151355298,beni
1989,- Otras Industrias Manufactureras,2392.7999692585354,beni
1989,- Petróleo Crudo y Gas Natural,0.0,beni
1989,- Productos Agrícolas Industriales,6692.361876547403,beni
1989,- Productos Agrícolas no Industriales,38929.210788441815,beni
1989,- Productos Pecuarios,164772.33499062265,beni
1989,- Productos de Minerales no Metálicos,4271.351657327067,beni
1989,- Productos de Refinación del Petróleo,0.0,beni
1989,- Propiedad de Vivienda,34742.24196125805,beni
1989,- Servicios Financieros,7126.1550509429735,beni
1989,- Servicios a las Empresas,7322.497711466769,beni
1989,"- Silvicultura, Caza y Pesca",27242.40976985434,beni
1989,"- Textiles, Prendas de Vestir y Productos del Cuero",7372.188027432232,beni
1989,- Transporte y Almacenamiento,28907.474337820455,beni
1989,"1. Agricultura, Silvicultura, Caza y Pesca",237636.3174254662,beni
1989,10. Restaurantes y Hoteles,22283.71557172679,beni
1989,11. Servicios de la Administración Pública,56967.64159,beni
1989,2. Extracción de Minas y Canteras,20244.56151355298,beni
1989,3. Industrias Manufactureras,99960.96763923323,beni
1989,"4. Electricidad, Gas y Agua",4053.0180452342724,beni
1989,5. Construcción,22367.585923540824,beni
1989,6. Comercio,48966.5686852606,beni
1989,"7. Transporte, Almacenamiento y Comunicaciones",33913.610786896694,beni
1989,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",49190.89472366779,beni
