year,department,sector_key,sector_label,value_spliced,splice_factor,base_year
1988,beni,- ALIMENTOS,- Alimentos,,,1990
1989,beni,- ALIMENTOS,- Alimentos,,,1990
1990,beni,- ALIMENTOS,- Alimentos,,,1990
1991,beni,- ALIMENTOS,- Alimentos,,,1990
1992,beni,- ALIMENTOS,- Alimentos,,,1990
1993,beni,- ALIMENTOS,- Alimentos,,,1990
1994,beni,- ALIMENTOS,- Alimentos,,,1990
1995,beni,- ALIMENTOS,- Alimentos,,,1990
1996,beni,- ALIMENTOS,- Alimentos,,,1990
1997,beni,- ALIMENTOS,- Alimentos,,,1990
1998,beni,- ALIMENTOS,- Alimentos,,,1990
1999,beni,- ALIMENTOS,- Alimentos,,,1990
2000,beni,- ALIMENTOS,- Alimentos,,,1990
2001,beni,- ALIMENTOS,- Alimentos,,,1990
2002,beni,- ALIMENTOS,- Alimentos,,,1990
2003,beni,- ALIMENTOS,- Alimentos,,,1990
2004,beni,- ALIMENTOS,- Alimentos,,,1990
2005,beni,- ALIMENTOS,- Alimentos,,,1990
2006,beni,- ALIMENTOS,- Alimentos,,,1990
2007,beni,- ALIMENTOS,- Alimentos,,,1990
2008,beni,- ALIMENTOS,- Alimentos,,,1990
2009,beni,- ALIMENTOS,- Alimentos,,,1990
2010,beni,- ALIMENTOS,- Alimentos,,,1990
2011,beni,- ALIMENTOS,- Alimentos,,,1990
2012,beni,- ALIMENTOS,- Alimentos,,,1990
2013,beni,- ALIMENTOS,- Alimentos,,,1990
2014,beni,- ALIMENTOS,- Alimentos,,,1990
2015,beni,- ALIMENTOS,- Alimentos,,,1990
2016,beni,- ALIMENTOS,- Alimentos,,,1990
1988,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1989,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1990,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1991,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1992,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1993,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1994,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1995,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1996,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1997,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1998,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1999,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2000,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2001,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2002,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2003,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2004,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2005,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2006,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2007,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2008,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2009,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2010,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2011,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2012,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2013,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2014,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2015,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
2016,beni,- BEBIDAS Y TABACO,- Bebidas y Tabaco,,,1990
1988,beni,- COCA,- Coca,,,1990
1989,beni,- COCA,- Coca,,,1990
1990,beni,- COCA,- Coca,,,1990
1991,beni,- COCA,- Coca,,,1990
1992,beni,- COCA,- Coca,,,1990
1993,beni,- COCA,- Coca,,,1990
1994,beni,- COCA,- Coca,,,1990
1995,beni,- COCA,- Coca,,,1990
1996,beni,- COCA,- Coca,,,1990
1997,beni,- COCA,- Coca,,,1990
1998,beni,- COCA,- Coca,,,1990
1999,beni,- COCA,- Coca,,,1990
2000,beni,- COCA,- Coca,,,1990
2001,beni,- COCA,- Coca,,,1990
2002,beni,- COCA,- Coca,,,1990
2003,beni,- COCA,- Coca,,,1990
2004,beni,- COCA,- Coca,,,1990
2005,beni,- COCA,- Coca,,,1990
2006,beni,- COCA,- Coca,,,1990
2007,beni,- COCA,- Coca,,,1990
2008,beni,- COCA,- Coca,,,1990
2009,beni,- COCA,- Coca,,,1990
2010,beni,- COCA,- Coca,,,1990
