date,year,quarter,"AGRICULTURA, SILVICULTURA, CAZA Y PESCA",PETRÓLEO CRUDO Y GAS NATURAL,MINERALES METÁLICOS Y NO METÁLICOS,INDUSTRIA MANUFACTURERA,"ELECTRICIDAD, GAS Y AGUA",CONSTRUCCIÓN,COMERCIO,TRANSPORTE Y COMUNICACIONES,"ESTABLECIMIENTOS FINANCIEROS, SEGUROS, BIENES INMUEBLES Y SERVICIOS A LAS EMPRESAS",SERVICIOS DE LA ADMINISTRACIÓN PÚBLICA,OTROS SERVICIOS,SERVICIOS BANCARIOS IMPUTADOS,PIB A PRECIOS BÁSICOS,"DERECHOS DE IMPORTACIÓN, IVA, IT Y OTROS IMPUESTOS INDIRECTOS",PIB A PRECIOS DE MERCADO
1990-01-01,1990,1,551365.2338472803,156457.20687591386,227315.00027580114,618483.775939135,62175.17267318823,86951.67453310915,317157.79511424777,335279.0972109695,381135.8461257457,313059.064209855,290379.1766316286,-48802.007241263665,3290957.0361956106,296638.2406729795,3587595.27686859
1990-04-01,1990,2,734054.621428038,156593.2669614198,223864.21662033268,631085.4257000064,62357.98307134019,120687.11779142891,333585.8689571928,342869.08424692956,394907.99688488676,398611.4849093463,290465.514403154,-69406.00434475824,3619676.576629318,306391.8044558547,3926068.3810851723
1990-07-01,1990,3,540919.7255348752,180387.47552712556,234626.75536062766,714459.069839202,60337.537625900506,124908.22096377837,358284.4807102014,373964.97133138287,388411.01657073083,368828.6702153654,296378.07829054736,-52081.99855174726,3589424.0034179897,344708.60740098316,3934132.610818973
1990-10-01,1990,4,544737.6242288894,170403.8983505796,232264.83362709408,655594.9336962118,63546.10300368065,141475.22197619392,361912.1450159316,386980.421287017,404909.99436633266,472159.78066543344,312134.21897905576,-82757.98986223087,3663361.1853341884,331979.0068018475,3995340.1921360358
1991-01-01,1991,1,609757.0238495606,163474.10958167285,224502.48410340014,613668.5686441031,64581.30155063192,107709.64075942093,328455.62982538727,329438.52398692456,381183.1512376805,278835.5054998093,310619.19435795775,-56318.978276208996,3355906.15512034,321899.6375029053,3677805.7926232456
1991-04-01,1991,2,822481.3459895927,166355.90398594143,239318.00162900184,668242.8871905255,65544.64684014281,117347.06734961834,369892.6919479187,374034.63867135346,418597.5077701867,418092.56914158486,307134.1965033117,-80848.98233131664,3886192.4746878617,331791.8706628208,4217984.345350683
1991-07-01,1991,3,579115.9758019235,172098.3916638887,250176.1525433478,748524.7697077475,68547.44404278485,130347.85533421203,374979.0965348717,410467.39203484193,394698.32315247157,399102.1940429354,313023.16196846263,-45864.00202755385,3795216.7547999336,354358.1430322838,4149574.8978322176
1991-10-01,1991,4,593508.3668398556,166798.45190434117,234652.52338281844,715451.4536836304,67205.77003563907,146916.92959944878,387746.59687695414,419395.6187232806,431111.6782876502,469431.14092367067,313942.18165004766,-96792.03736492056,3849368.6745424164,361718.9410064577,4211087.615548874
1992-01-01,1992,1,577128.9746079053,154177.33122919686,213913.53517526257,662162.1582591252,66150.58815788418,108504.6281868223,341020.4518121481,370350.1536199127,412667.5492621443,308704.4689370642,321551.81056112313,-76713.08834341675,3459618.5614651716,336137.30168941565,3795755.8631545873
1992-04-01,1992,2,780416.2727948476,172081.52202998358,248527.90807463578,704685.7658149472,68471.5906891528,127366.37346612301,385224.1901526505,392452.9197549625,427591.29396583966,406968.4026215891,323147.8771347704,-75443.11339744861,3961491.0031020534,338212.28955340333,4299703.292655457
1992-07-01,1992,3,559019.1712643537,177146.243235122,246285.31025949676,713705.225864232,73321.9558238805,154721.5709359704,365408.4261480296,418030.14019375213,430105.96419580525,405839.84315352107,330511.80956692836,-78307.11252701588,3795788.548114076,368313.1016275325,4164101.649741608
1992-10-01,1992,4,577979.3673266945,171560.11453321748,255229.2494014489,667478.0588219592,70292.89878195284,167961.75341920223,380038.97709873045,423433.9037133859,458931.8591815778,507592.28528782603,330431.34029334655,-102816.08573211869,3908113.7221272234,356440.6232713159,4264554.34539854
1993-01-01,1993,1,617040.6148363709,153928.61144557942,221634.72773514237,645932.7979660367,83339.67246447655,134838.12781983448,339244.2932744613,377166.30410340906,432011.5284870141,355710.68557490123,338572.79244331346,-78648.033012757,3620772.123137783,329952.31686022924,3950724.439998012
1993-04-01,1993,2,825932.3159451628,174227.13114615655,250660.79182364608,727356.2900681561,77523.3181090697,150103.45564068537,394439.8734724041,417355.7705473431,474539.388783096,447167.4608256723,339901.1045699244,-101121.99871990952,4178084.9022114067,375539.9659900278,4553624.868201435
1993-07-01,1993,3,569056.8196903731,181549.78441315997,286580.76331325824,774740.2690419179,82140.36924430495,141676.98828533333,378732.8742439624,439936.2002534542,463191.7228814465,380401.79367202154,342685.18983315397,-100897.98285357628,3939794.7920188103,361750.705311299,4301545.49733011
1993-10-01,1993,4,585876.6186539584,181332.54644177668,284923.9672563937,712123.9296826272,78467.98461258419,164055.52037545873,402011.96864896215,440345.464617186,475860.92170105537,494787.5745994047,336627.3056620896,-106648.98541375723,4049764.816837739,373918.80558118847,4423683.622418928
1994-01-01,1994,1,671750.6899031291,171722.68157446233,270149.20720846194,661752.1455609333,91760.59253737028,113184.36606634066,352817.21396283427,400147.7361042163,459044.88015687116,376471.3176004355,348329.9839079906,-86396.00640045243,3830734.8081825934,351287.83345095883,4182022.6416335525
1994-04-01,1994,2,895307.7369795078,187983.15210285093,248285.78194828884,752901.2221080828,82513.43393975926,133293.83821491312,407422.75521442154,438296.01888178237,488779.3576430814,391863.902015627,338022.6573675821,-98600.01223494957,4266069.844180947,364695.2777238001,4630765.121904748
1994-07-01,1994,3,597007.7900414192,207408.5819202318,263546.27965409006,819956.9861184177,90450.37624871306,177749.22051687245,400176.4101712135,475521.7191505608,482033.3536136174,489267.6743400547,348730.2812762542,-101539.00291724851,4250309.670134197,398340.2301383084,4648649.900272505
1994-10-01,1994,4,607181.5911674366,183186.26338690412,262178.1817211483,780336.1492859672,92933.09612208509,173430.64966092177,417098.4516412378,460764.582084773,527312.61139991,465905.4144968831,351507.97095164383,-136319.97844734942,4185514.9834715617,386776.0826753109,4572291.066146873
1995-01-01,1995,1,675986.7574340361,172387.71138683983,255973.66152102657,748363.3909240839,99622.35634728911,128941.17452508095,378503.5200336059,429242.6511773105,489833.172995158,377520.97620563314,366126.0089304723,-107326.19882525221,4015175.1826552837,386734.24623569445,4401909.428890978
1995-04-01,1995,2,903051.3875877641,194899.5461054186,295238.76251960656,798005.5891461379,87743.8422218927,139865.7483101519,414331.9615730233,467914.48036825255,519249.48082190397,390955.61624258483,348988.5736848512,-118146.92144631245,4442098.067135276,405112.7682972383,4847210.835432515
1995-07-01,1995,3,605259.340820657,209321.9530574201,296765.62187212246,877986.2616731055,97397.5428747296,182198.83981708344,412196.07789421274,500424.4480338128,485861.41243311414,451871.0126333181,360858.0346407378,-97447.92631053012,4382692.6194397835,405702.2467669846,4788394.866206768
1995-10-01,1995,4,625851.1073925316,198593.07309504747,302114.0063445809,795419.7816597483,103901.2860281354,182797.06409879334,417279.5712536683,482287.04754532356,533983.6648970526,545853.3949184646,355085.7063665305,-130744.9534179053,4412420.750181971,427460.61546686623,4839881.365648838
1996-01-01,1996,1,735647.7254005731,189548.26726060474,261365.68388341958,760965.6446189767,100681.452254786,141920.58437569486,388185.22985645593,450772.6290309169,514658.48123824014,367856.5883668031,373744.0509677136,-114062.00276843792,4171284.3344857465,390609.14463867317,4561893.479124419
1996-04-01,1996,2,963544.0933268314,201766.32758303848,285470.3019252365,843725.53897273,92089.1492594772,162616.53245917498,441416.79443362297,479337.9670199471,541752.8836442089,443355.61684349395,364222.0148248324,-106102.03383642413,4713195.18645617,409618.3222561601,5122813.50871233
1996-07-01,1996,3,648813.4675345528,210910.26891646578,266375.12741633505,924887.945738673,100111.84047923086,186035.0770156369,439359.695614102,536005.9210963522,541724.4006531275,462905.26871782576,381303.39807879325,-134980.0466218639,4563452.364639231,426441.7327801702,4989894.097419402
1996-10-01,1996,4,650543.6614113062,190379.05964968994,281419.429829546,846820.20678181,108821.98753202344,200381.4356812192,440960.0914966551,542598.077907715,603752.9041255049,519336.1787031808,375770.52468447987,-188880.04112475726,4571903.516678372,454199.3972748909,5026102.913953263
1997-01-01,1997,1,784114.8042240206,177222.65499653618,257278.03345607023,816066.7038199663,103593.7147095277,141803.29671114907,412987.246810627,479590.03314535116,576740.8569332168,389835.75294317066,385411.4032335987,-160713.26734510422,4363931.23363813,417291.8835915304,4781223.117229661
1997-04-01,1997,2,1013465.8872059475,230090.30154529435,282200.5822724236,855042.8074896451,95152.19419426718,183693.70572580636,467923.27467461507,533162.4372214482,613497.9012347426,469459.68315185833,385435.89125206775,-150222.2508952015,4978902.415072914,435962.34547393554,5414864.76054685
1997-07-01,1997,3,669847.8355420285,249797.67410473645,272202.40362880065,915808.3560451021,103898.82686791735,195622.78815625794,450037.1136819206,587879.7832390775,623368.4123805088,471340.06218769756,399759.7061223479,-204838.2417750485,4734724.720181348,451214.86249076924,5185939.582672117
1997-10-01,1997,4,667697.2352973698,247483.1075325779,285390.635826509,857699.3348245475,117970.55882526613,204347.35322394173,463360.0592787533,593818.8078835071,666117.310907664,546910.1273056408,381679.4066059614,-211628.23998464594,4820845.697527094,473844.84772511135,5294690.545252205
1998-01-01,1998,1,727870.7354542931,236688.36447360556,268991.0701533921,862409.0511211352,93177.12592871202,215843.04502333442,423817.3106121868,565384.7540534221,647643.4168184666,412970.33436989586,384180.42401573254,-203567.87126992253,4635407.760754253,468665.2794444126,5104073.040198665
1998-04-01,1998,2,991679.2334774997,247263.04914423192,277112.30784312915,885524.2231504243,109074.65448699894,227160.9848532641,489316.18649614026,578681.2684517633,708475.6742619753,463719.76464501675,410640.17233371676,-199404.5741006694,5189242.94504349,492966.49383920187,5682209.438882692
1998-07-01,1998,3,644876.267487312,291034.3562636942,289028.0159000734,928937.0727959445,102866.8884269112,261974.2898354411,451795.1032501491,606111.1403780468,724715.6615744883,496803.83962963684,400936.17924190674,-269561.99137162056,4929516.823411983,499332.2148676909,5428849.038279674
1998-10-01,1998,4,631839.1136089418,246129.49000533146,256785.54767448458,853342.7925702618,126086.08456897472,279741.38295124215,457859.6437267521,598883.5274288728,709899.4553278575,574348.3902306685,405083.04107649805,-147309.56325778743,4992688.9059120985,508803.0580614336,5501491.963973532
1999-01-01,1999,1,750979.7511573774,235188.92487641628,241811.4498309823,890293.4301515089,97278.09991669074,159883.52230280364,425347.3317377957,553969.6622346097,776901.8379812886,428848.31314542616,406453.95368167927,-271494.4240513046,4695461.852965275,446502.78365998494,5141964.63662526
