date,hydrocarbon_va
1990-01-01,156457.20687591386
1990-04-01,156593.2669614198
1990-07-01,180387.47552712556
1990-10-01,170403.8983505796
1991-01-01,163474.10958167285
1991-04-01,166355.90398594143
1991-07-01,172098.3916638887
1991-10-01,166798.45190434117
1992-01-01,154177.33122919686
1992-04-01,172081.52202998358
1992-07-01,177146.243235122
1992-10-01,171560.11453321748
1993-01-01,153928.61144557942
1993-04-01,174227.13114615655
1993-07-01,181549.78441315997
1993-10-01,181332.54644177668
1994-01-01,171722.68157446233
1994-04-01,187983.15210285093
1994-07-01,207408.5819202318
1994-10-01,183186.26338690412
1995-01-01,172387.71138683983
1995-04-01,194899.5461054186
1995-07-01,209321.9530574201
1995-10-01,198593.07309504747
1996-01-01,189548.26726060474
1996-04-01,201766.32758303848
1996-07-01,210910.26891646578
1996-10-01,190379.05964968994
1997-01-01,177222.65499653618
1997-04-01,230090.30154529435
1997-07-01,249797.67410473645
1997-10-01,247483.1075325779
1998-01-01,236688.36447360556
1998-04-01,247263.04914423192
1998-07-01,291034.3562636942
1998-10-01,246129.49000533146
1999-01-01,235188.92487641628
1999-04-01,227138.8094507029
1999-07-01,272567.1367315596
1999-10-01,242626.99721953255
2000-01-01,230935.27216221517
2000-04-01,235792.6746494853
2000-07-01,311855.0272952301
2000-10-01,312790.0931366176
2001-01-01,228012.87232730328
2001-04-01,233922.18864123838
2001-07-01,291926.00997059606
2001-10-01,336974.02230403956
2002-01-01,256096.28500051022
2002-04-01,264953.75743608683
2002-07-01,306438.1528184137
2002-10-01,314809.9519443001
2003-01-01,258230.83527834486
2003-04-01,286148.7586632213
2003-07-01,323901.1855128806
2003-10-01,375291.8360112445
2004-01-01,318446.7263646367
2004-04-01,354226.4335174766
2004-07-01,440093.02715358266
2004-10-01,431702.3765051825
2005-01-01,391301.0546140455
2005-04-01,420211.7780474408
2005-07-01,478088.2720748616
2005-10-01,480198.0371608097
2006-01-01,441000.23492390546
2006-04-01,421295.4078040054
2006-07-01,513215.3829179604
2006-10-01,475743.2807657696
2007-01-01,433071.28245492256
2007-04-01,461186.94520954037
2007-07-01,525755.1191087293
2007-10-01,528262.4938697693
2008-01-01,481838.5923667958
2008-04-01,473112.57215491764
2008-07-01,517047.1972283309
2008-10-01,516036.26543976617
2009-01-01,388155.4471773189
2009-04-01,443738.03084109095
2009-07-01,464661.59760909324
2009-10-01,423479.34462549625
2010-01-01,418857.40331362427
2010-04-01,463580.77810933196
2010-07-01,542994.3019659088
2010-10-01,534524.9471131016
2011-01-01,480469.3688690149
2011-04-01,477373.90647184436
2011-07-01,574664.1143162911
2011-10-01,567130.3526036127
2012-01-01,518681.9195327984
2012-04-01,546711.1718573878
2012-07-01,627514.6007942113
2012-10-01,715154.4984478876
2013-01-01,640837.5563908184
2013-04-01,640830.459403042
2013-07-01,728794.0019099249
2013-10-01,733983.3900568018
2014-01-01,693919.2035409857
2014-04-01,698180.7396815576
2014-07-01,765379.4067216183
2014-10-01,744343.2750049601
2015-01-01,687768.4346453217
2015-04-01,686246.5661483596
2015-07-01,744965.2086448135
2015-10-01,743099.8722248247
2016-01-01,672174.7952830498
2016-04-01,646199.0296079429
2016-07-01,722143.203327457
2016-10-01,696474.3835278088
2017-01-01,577570.5461593
2017-04-01,646935.7564889793
2017-07-01,731408.6092644113
2017-10-01,715696.8288866329
2018-01-01,612314.0324558845
2018-04-01,624548.0358985089
2018-07-01,681941.4763192537
2018-10-01,543805.3697300937
2019-01-01,491233.9594433812
2019-04-01,496833.4226786328
2019-07-01,586943.7496433519
2019-10-01,633607.5407856009
2020-01-01,496676.2637640344
2020-04-01,403616.576650662
2020-07-01,558175.9669368127
2020-10-01,605544.6185076614
2021-01-01,516645.8214350506
2021-04-01,539151.7114690725
2021-07-01,532821.3271739818
2021-10-01,529872.9432610116
2022-01-01,469503.7398921241
2022-04-01,482744.56116233947
2022-07-01,506995.6111798539
2022-10-01,481348.3131975304
2023-01-01,457599.5271932286
2023-04-01,440378.7311877422
2023-07-01,462632.04607924406
2023-10-01,449050.7282367889
2024-01-01,393653.5366048402
2024-04-01,395334.59225696465
2024-07-01,396540.4163313197
2024-10-01,381485.21130210423
