Country,Latitude,Longitude,bcm,MMscfd,Year,Field  Type,Field Name,Field  Operator,Location,Flare Level,Flaring Vol (million m3),sheet
Argentina,-22.350291,-63.770818,0.000816321,0.078981139,2012,,,,ONSHORE,Small,0.816321263,2012-2024-Flare-Volume-Estimate
Argentina,-22.192513,-63.646628,0.01088103,1.052767119,2012,GAS,Campo Duran & Madrejones,Tecpetrol,ONSHORE,Small,10.88103047,2012-2024-Flare-Volume-Estimate
Argentina,-22.039378,-63.610292,0.00082842,0.080151682,2012,GAS,Campo Duran & Madrejones,Tecpetrol,ONSHORE,Small,0.828419577,2012-2024-Flare-Volume-Estimate
Argentina,-22.159332,-63.630659,0.000641344,0.062051623,2012,GAS,Campo Duran & Madrejones,Tecpetrol,ONSHORE,Small,0.641343736,2012-2024-Flare-Volume-Estimate
Bolivia,-21.950084,-63.629336,0.0,0.0,2012,,,,ONSHORE,Small,0.0,2012-2024-Flare-Volume-Estimate
Bolivia,-21.249327,-63.758434,0.002882702,0.278908693,2012,,,,ONSHORE,Small,2.882702108,2012-2024-Flare-Volume-Estimate
Bolivia,-20.759,-63.210101,0.001422837,0.137663053,2012,GAS,Porvenir,Occidental Petroleum,ONSHORE,Small,1.422836877,2012-2024-Flare-Volume-Estimate
Bolivia,-21.961551,-63.889771,0.012109315,1.171606786,2012,GAS,San Alberto,Petrobras,ONSHORE,Small,12.10931546,2012-2024-Flare-Volume-Estimate
Bolivia,-21.890931,-63.863682,0.0,0.0,2012,GAS,San Alberto,Petrobras,ONSHORE,Small,0.0,2012-2024-Flare-Volume-Estimate
Bolivia,-21.914207,-63.844782,0.019248504,1.86234125,2012,GAS,San Alberto,Petrobras,ONSHORE,Small,19.24850381,2012-2024-Flare-Volume-Estimate
Bolivia,-21.270737,-63.647114,0.001401459,0.135594647,2012,GAS,San Antonio (Sabalo),Petrobras,ONSHORE,Small,1.401458555,2012-2024-Flare-Volume-Estimate
Bolivia,-21.227274,-63.637473,0.002046883,0.198041124,2012,GAS,San Antonio (Sabalo),Petrobras,ONSHORE,Small,2.046883366,2012-2024-Flare-Volume-Estimate
Bolivia,-21.27535,-63.628056,0.015038166,1.454980479,2012,GAS,San Antonio (Sabalo),Petrobras,ONSHORE,Small,15.03816623,2012-2024-Flare-Volume-Estimate
Bolivia,-21.335945,-63.667866,0.001275903,0.123446872,2012,GAS,San Antonio (Sabalo),Petrobras,ONSHORE,Small,1.275903427,2012-2024-Flare-Volume-Estimate
Bolivia,-21.291384,-63.305106,0.001828188,0.176881803,2012,GAS,La Vertiente,Shell,ONSHORE,Small,1.828188074,2012-2024-Flare-Volume-Estimate
Argentina,-22.350291,-63.770818,0.001650996,0.159737978,2013,,,,ONSHORE,Small,1.650995529,2012-2024-Flare-Volume-Estimate
Argentina,-22.192513,-63.646628,0.01407456,1.361749109,2013,GAS,Campo Duran & Madrejones,Tecpetrol,ONSHORE,Small,14.0745596,2012-2024-Flare-Volume-Estimate
Argentina,-22.039378,-63.610292,0.000788144,0.076254929,2013,GAS,Campo Duran & Madrejones,Tecpetrol,ONSHORE,Small,0.788144108,2012-2024-Flare-Volume-Estimate
Argentina,-22.159332,-63.630659,0.000677021,0.065503449,2013,GAS,Campo Duran & Madrejones,Tecpetrol,ONSHORE,Small,0.677020604,2012-2024-Flare-Volume-Estimate
Bolivia,-21.950084,-63.629336,0.0,0.0,2013,,,,ONSHORE,Small,0.0,2012-2024-Flare-Volume-Estimate
Bolivia,-21.249327,-63.758434,0.001534093,0.148427408,2013,,,,ONSHORE,Small,1.53409346,2012-2024-Flare-Volume-Estimate
Bolivia,-20.759,-63.210101,0.00130773,0.126526162,2013,GAS,Porvenir,Occidental Petroleum,ONSHORE,Small,1.307729889,2012-2024-Flare-Volume-Estimate
Bolivia,-21.961551,-63.889771,0.0,0.0,2013,GAS,San Alberto,Petrobras,ONSHORE,Small,0.0,2012-2024-Flare-Volume-Estimate
Bolivia,-21.890931,-63.863682,0.0,0.0,2013,GAS,San Alberto,Petrobras,ONSHORE,Small,0.0,2012-2024-Flare-Volume-Estimate
Bolivia,-21.914207,-63.844782,0.013819699,1.337090751,2013,GAS,San Alberto,Petrobras,ONSHORE,Small,13.81969948,2012-2024-Flare-Volume-Estimate
Bolivia,-21.270737,-63.647114,0.000886891,0.085808969,2013,GAS,San Antonio (Sabalo),Petrobras,ONSHORE,Small,0.886891313,2012-2024-Flare-Volume-Estimate
Bolivia,-21.227274,-63.637473,0.002070042,0.200281778,2013,GAS,San Antonio (Sabalo),Petrobras,ONSHORE,Small,2.070041982,2012-2024-Flare-Volume-Estimate
