year,gas_prod_mmm3d,source,note
2006,35.72,ypfb_diapositiva3_jpg,YPFB producción fiscalizada promedio diario
2007,38.16,ypfb_diapositiva3_jpg,
2008,39.68,ypfb_diapositiva3_jpg,
2009,34.04,ypfb_diapositiva3_jpg,
2010,39.96,ypfb_diapositiva3_jpg,
2011,43.46,ypfb_diapositiva3_jpg,
2012,49.46,ypfb_diapositiva3_jpg,
2013,56.49,ypfb_diapositiva3_jpg,
2014,59.63,ypfb_diapositiva3_jpg,peak
2015,59.17,ypfb_diapositiva3_jpg,
2016,56.63,ypfb_diapositiva3_jpg,
2017,55.16,ypfb_diapositiva3_jpg,
2018,51.52,ypfb_diapositiva3_jpg,
2019,45.31,ypfb_diapositiva3_jpg,
2020,43.43,ypfb_diapositiva3_jpg,
2021,45.13,ypfb_diapositiva3_jpg,
2022,41.30,ypfb_diapositiva3_jpg,
2023,35.95,ypfb_diapositiva3_jpg,
2024,31.78,ypfb_diapositiva3_jpg,
2025,28.98,ypfb_diapositiva3_jpg,projected escenario_2P_50pct_comp_ABR25
