date,gas_prod_mmm3d
2006-01-01,35.72
2006-02-01,35.72
2006-03-01,35.72
2006-04-01,35.72
2006-05-01,35.72
2006-06-01,35.72
2006-07-01,35.72
2006-08-01,35.72
2006-09-01,35.72
2006-10-01,35.72
2006-11-01,35.72
2006-12-01,35.72
2007-01-01,38.16
2007-02-01,38.16
2007-03-01,38.16
2007-04-01,38.16
2007-05-01,38.16
2007-06-01,38.16
2007-07-01,38.16
2007-08-01,38.16
2007-09-01,38.16
2007-10-01,38.16
2007-11-01,38.16
2007-12-01,38.16
2008-01-01,39.68
2008-02-01,39.68
2008-03-01,39.68
2008-04-01,39.68
2008-05-01,39.68
2008-06-01,39.68
2008-07-01,39.68
2008-08-01,39.68
2008-09-01,39.68
2008-10-01,39.68
2008-11-01,39.68
2008-12-01,39.68
2009-01-01,34.04
2009-02-01,34.04
2009-03-01,34.04
2009-04-01,34.04
2009-05-01,34.04
2009-06-01,34.04
2009-07-01,34.04
2009-08-01,34.04
2009-09-01,34.04
2009-10-01,34.04
2009-11-01,34.04
2009-12-01,34.04
2010-01-01,39.96
2010-02-01,39.96
2010-03-01,39.96
2010-04-01,39.96
2010-05-01,39.96
2010-06-01,39.96
2010-07-01,39.96
2010-08-01,39.96
2010-09-01,39.96
2010-10-01,39.96
2010-11-01,39.96
2010-12-01,39.96
2011-01-01,43.46
2011-02-01,43.46
2011-03-01,43.46
2011-04-01,43.46
2011-05-01,43.46
2011-06-01,43.46
2011-07-01,43.46
2011-08-01,43.46
2011-09-01,43.46
2011-10-01,43.46
2011-11-01,43.46
2011-12-01,43.46
2012-01-01,49.46
2012-02-01,49.46
2012-03-01,49.46
2012-04-01,49.46
2012-05-01,49.46
2012-06-01,49.46
2012-07-01,49.46
2012-08-01,49.46
2012-09-01,49.46
2012-10-01,49.46
2012-11-01,49.46
2012-12-01,49.46
2013-01-01,56.49
2013-02-01,56.49
2013-03-01,56.49
2013-04-01,56.49
2013-05-01,56.49
2013-06-01,56.49
2013-07-01,56.49
2013-08-01,56.49
2013-09-01,56.49
2013-10-01,56.49
2013-11-01,56.49
2013-12-01,56.49
2014-01-01,59.63
2014-02-01,59.63
2014-03-01,59.63
2014-04-01,59.63
2014-05-01,59.63
2014-06-01,59.63
2014-07-01,59.63
2014-08-01,59.63
2014-09-01,59.63
2014-10-01,59.63
2014-11-01,59.63
2014-12-01,59.63
2015-01-01,59.17
2015-02-01,59.17
2015-03-01,59.17
2015-04-01,59.17
2015-05-01,59.17
2015-06-01,59.17
2015-07-01,59.17
2015-08-01,59.17
2015-09-01,59.17
2015-10-01,59.17
2015-11-01,59.17
2015-12-01,59.17
2016-01-01,56.63
2016-02-01,56.63
2016-03-01,56.63
2016-04-01,56.63
2016-05-01,56.63
2016-06-01,56.63
2016-07-01,56.63
2016-08-01,56.63
2016-09-01,56.63
2016-10-01,56.63
2016-11-01,56.63
2016-12-01,56.63
2017-01-01,55.16
2017-02-01,55.16
2017-03-01,55.16
2017-04-01,55.16
2017-05-01,55.16
2017-06-01,55.16
2017-07-01,55.16
2017-08-01,55.16
2017-09-01,55.16
2017-10-01,55.16
2017-11-01,55.16
2017-12-01,55.16
2018-01-01,51.52
2018-02-01,51.52
2018-03-01,51.52
2018-04-01,51.52
2018-05-01,51.52
2018-06-01,51.52
2018-07-01,51.52
2018-08-01,51.52
2018-09-01,51.52
2018-10-01,51.52
2018-11-01,51.52
2018-12-01,51.52
2019-01-01,45.31
2019-02-01,45.31
2019-03-01,45.31
2019-04-01,45.31
2019-05-01,45.31
2019-06-01,45.31
2019-07-01,45.31
2019-08-01,45.31
2019-09-01,45.31
2019-10-01,45.31
2019-11-01,45.31
2019-12-01,45.31
2020-01-01,43.43
2020-02-01,43.43
2020-03-01,43.43
2020-04-01,43.43
2020-05-01,43.43
2020-06-01,43.43
2020-07-01,43.43
2020-08-01,43.43
2020-09-01,43.43
2020-10-01,43.43
2020-11-01,43.43
2020-12-01,43.43
2021-01-01,45.13
2021-02-01,45.13
2021-03-01,45.13
2021-04-01,45.13
2021-05-01,45.13
2021-06-01,45.13
2021-07-01,45.13
2021-08-01,45.13
2021-09-01,45.13
2021-10-01,45.13
2021-11-01,45.13
2021-12-01,45.13
2022-01-01,41.3
2022-02-01,41.3
2022-03-01,41.3
2022-04-01,41.3
2022-05-01,41.3
2022-06-01,41.3
2022-07-01,41.3
2022-08-01,41.3
2022-09-01,41.3
2022-10-01,41.3
2022-11-01,41.3
2022-12-01,41.3
2023-01-01,35.95
2023-02-01,35.95
2023-03-01,35.95
2023-04-01,35.95
2023-05-01,35.95
2023-06-01,35.95
2023-07-01,35.95
2023-08-01,35.95
2023-09-01,35.95
2023-10-01,35.95
2023-11-01,35.95
2023-12-01,35.95
2024-01-01,31.78
2024-02-01,31.78
2024-03-01,31.78
2024-04-01,31.78
2024-05-01,31.78
2024-06-01,31.78
2024-07-01,31.78
2024-08-01,31.78
2024-09-01,31.78
2024-10-01,31.78
2024-11-01,31.78
2024-12-01,31.78
2025-01-01,28.98
2025-02-01,28.98
2025-03-01,28.98
2025-04-01,28.98
2025-05-01,28.98
2025-06-01,28.98
2025-07-01,28.98
2025-08-01,28.98
2025-09-01,28.98
2025-10-01,28.98
2025-11-01,28.98
2025-12-01,28.98
