date,zone,ndvi,n_valid_pixels,source
2013-01-01,santa_cruz_soy_belt,,0,missing
2013-02-01,santa_cruz_soy_belt,,0,missing
2013-03-01,santa_cruz_soy_belt,0.5881242837210813,10749,LANDSAT/LC08/C02/T1_L2
2013-04-01,santa_cruz_soy_belt,0.6089841396804409,94477,LANDSAT/LC08/C02/T1_L2
2013-05-01,santa_cruz_soy_belt,0.6753398969145312,20646,LANDSAT/LC08/C02/T1_L2
2013-06-01,santa_cruz_soy_belt,0.6634645509829405,19838,LANDSAT/LC08/C02/T1_L2
2013-07-01,santa_cruz_soy_belt,0.6858842084979334,85462,LANDSAT/LC08/C02/T1_L2
2013-08-01,santa_cruz_soy_belt,0.49431075133174707,92906,LANDSAT/LC08/C02/T1_L2
2013-09-01,santa_cruz_soy_belt,0.5086360929918288,55954,LANDSAT/LC08/C02/T1_L2
2013-10-01,santa_cruz_soy_belt,0.5226733745549377,35245,LANDSAT/LC08/C02/T1_L2
2013-11-01,santa_cruz_soy_belt,0.5200477204775736,91080,LANDSAT/LC08/C02/T1_L2
2013-12-01,santa_cruz_soy_belt,0.5295441093935127,76399,LANDSAT/LC08/C02/T1_L2
2014-01-01,santa_cruz_soy_belt,0.6823399125692454,26502,LANDSAT/LC08/C02/T1_L2
2014-02-01,santa_cruz_soy_belt,0.7385178058154849,41520,LANDSAT/LC08/C02/T1_L2
2014-03-01,santa_cruz_soy_belt,0.7630891134515013,60648,LANDSAT/LC08/C02/T1_L2
2014-04-01,santa_cruz_soy_belt,0.5905626826558905,89195,LANDSAT/LC08/C02/T1_L2
2014-05-01,santa_cruz_soy_belt,0.6265968935151065,70268,LANDSAT/LC08/C02/T1_L2
2014-06-01,santa_cruz_soy_belt,0.7095772264810091,64069,LANDSAT/LC08/C02/T1_L2
2014-07-01,santa_cruz_soy_belt,0.6618414913603505,91439,LANDSAT/LC08/C02/T1_L2
2014-08-01,santa_cruz_soy_belt,0.5913726501816718,92719,LANDSAT/LC08/C02/T1_L2
2014-09-01,santa_cruz_soy_belt,0.5224396430077145,94781,LANDSAT/LC08/C02/T1_L2
2014-10-01,santa_cruz_soy_belt,0.511550701866868,95102,LANDSAT/LC08/C02/T1_L2
2014-11-01,santa_cruz_soy_belt,0.49123452265461276,38774,LANDSAT/LC08/C02/T1_L2
2014-12-01,santa_cruz_soy_belt,0.47353015213024563,56345,LANDSAT/LC08/C02/T1_L2
2015-01-01,santa_cruz_soy_belt,0.6380829003296744,78189,LANDSAT/LC08/C02/T1_L2
2015-02-01,santa_cruz_soy_belt,0.7334777852963434,62456,LANDSAT/LC08/C02/T1_L2
2015-03-01,santa_cruz_soy_belt,0.6924044460730855,39631,LANDSAT/LC08/C02/T1_L2
2015-04-01,santa_cruz_soy_belt,0.5578632368422783,28900,LANDSAT/LC08/C02/T1_L2
2015-05-01,santa_cruz_soy_belt,0.593980259465919,43748,LANDSAT/LC08/C02/T1_L2
2015-06-01,santa_cruz_soy_belt,0.6688020477944898,62094,LANDSAT/LC08/C02/T1_L2
2015-07-01,santa_cruz_soy_belt,0.6538124467811621,77241,LANDSAT/LC08/C02/T1_L2
2015-08-01,santa_cruz_soy_belt,0.6360819217141817,85249,LANDSAT/LC08/C02/T1_L2
2015-09-01,santa_cruz_soy_belt,0.5452974724729408,66377,LANDSAT/LC08/C02/T1_L2
2015-10-01,santa_cruz_soy_belt,0.5299168659206033,73876,LANDSAT/LC08/C02/T1_L2
2015-11-01,santa_cruz_soy_belt,0.5162592364437527,61414,LANDSAT/LC08/C02/T1_L2
2015-12-01,santa_cruz_soy_belt,0.4876039601899896,57785,LANDSAT/LC08/C02/T1_L2
2016-01-01,santa_cruz_soy_belt,0.5979355015400896,44511,LANDSAT/LC08/C02/T1_L2
2016-02-01,santa_cruz_soy_belt,0.7255820680388726,47574,LANDSAT/LC08/C02/T1_L2
2016-03-01,santa_cruz_soy_belt,0.6763535235773935,63720,LANDSAT/LC08/C02/T1_L2
