date,roi,no2_tropos_col_mol_m2,n_valid_days,sd,month_of_year,base_mean,base_sd_pooled,anomaly_mult,z_vs_2019,post_subsidy_break,volcanic_flag
2018-07-01,la_paz_el_alto,2.370286401616604e-05,426,,7,2.7037113330928337e-05,8.323715628520184e-06,-0.12332120200673125,-0.40057222802493453,False,False
2018-08-01,la_paz_el_alto,2.854299096798626e-05,421,,8,3.140955691738529e-05,8.323715628520184e-06,-0.09126413202640171,-0.34438537755628,False,False
2018-09-01,la_paz_el_alto,2.6626658098708455e-05,414,,9,2.3477145364036945e-05,8.323715628520184e-06,0.1341522866530458,0.3783782237682524,False,False
2018-10-01,la_paz_el_alto,1.3035720428101655e-05,427,,10,1.3843298904235513e-05,8.323715628520184e-06,-0.058337140714831315,-0.0970213919090159,False,False
2018-11-01,la_paz_el_alto,1.6000359437468334e-05,425,,11,5.292696018231177e-06,8.323715628520184e-06,2.023101909188366,1.2864042811059846,False,False
2018-12-01,la_paz_el_alto,1.5425253444031064e-05,426,,12,7.1041248617796e-06,8.323715628520184e-06,1.1713094496718912,0.9996891957409193,False,False
2019-01-01,la_paz_el_alto,1.1831437128044168e-05,440,,1,1.1831437128044168e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-02-01,la_paz_el_alto,9.350419956991373e-06,396,,2,9.350419956991373e-06,8.323715628520184e-06,0.0,0.0,False,False
2019-03-01,la_paz_el_alto,9.947073047144532e-06,440,,3,9.947073047144532e-06,8.323715628520184e-06,0.0,0.0,False,False
2019-04-01,la_paz_el_alto,1.3235605810154211e-05,417,,4,1.3235605810154211e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-05-01,la_paz_el_alto,1.8671171588221335e-05,440,,5,1.8671171588221335e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-06-01,la_paz_el_alto,2.1968011333895777e-05,425,,6,2.1968011333895777e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-07-01,la_paz_el_alto,2.7037113330928337e-05,437,,7,2.7037113330928337e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-08-01,la_paz_el_alto,3.140955691738529e-05,440,,8,3.140955691738529e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-09-01,la_paz_el_alto,2.3477145364036945e-05,425,,9,2.3477145364036945e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-10-01,la_paz_el_alto,1.3843298904235513e-05,439,,10,1.3843298904235513e-05,8.323715628520184e-06,0.0,0.0,False,False
2019-11-01,la_paz_el_alto,5.292696018231177e-06,424,,11,5.292696018231177e-06,8.323715628520184e-06,0.0,0.0,False,False
2019-12-01,la_paz_el_alto,7.1041248617796e-06,440,,12,7.1041248617796e-06,8.323715628520184e-06,0.0,0.0,False,False
2020-01-01,la_paz_el_alto,1.2580793542332544e-05,439,,1,1.1831437128044168e-05,8.323715628520184e-06,0.06333604330383236,0.09002667170906212,False,False
2020-02-01,la_paz_el_alto,1.1421399264497054e-05,407,,2,9.350419956991373e-06,8.323715628520184e-06,0.22148516505477334,0.24880466848359475,False,False
2020-03-01,la_paz_el_alto,1.0861591147373507e-05,440,,3,9.947073047144532e-06,8.323715628520184e-06,0.09193841202277109,0.10986897451127378,False,False
2020-04-01,la_paz_el_alto,6.178678157206626e-06,425,,4,1.3235605810154211e-05,8.323715628520184e-06,-0.5331775329493107,-0.8478097964769356,False,False
2020-05-01,la_paz_el_alto,1.0777462394886434e-05,438,,5,1.8671171588221335e-05,8.323715628520184e-06,-0.4227752477147513,-0.9483396052464936,False,False
2020-06-01,la_paz_el_alto,1.7114918359863574e-05,425,,6,2.1968011333895777e-05,8.323715628520184e-06,-0.2209163542511502,-0.5830440623660519,False,False
2020-07-01,la_paz_el_alto,2.586161693192028e-05,439,,7,2.7037113330928337e-05,8.323715628520184e-06,-0.04347714138784864,-0.1412225563041059,False,False
2020-08-01,la_paz_el_alto,2.1191450619466384e-05,437,,8,3.140955691738529e-05,8.323715628520184e-06,-0.325318383980869,-1.2275895470176599,False,False
2020-09-01,la_paz_el_alto,2.495707543537971e-05,425,,9,2.3477145364036945e-05,8.323715628520184e-06,0.06303705362789835,0.17779680822732175,False,False
2020-10-01,la_paz_el_alto,1.184241241656138e-05,440,,10,1.3843298904235513e-05,8.323715628520184e-06,-0.14453827093641236,-0.24038381138566808,False,False
2020-11-01,la_paz_el_alto,9.788726526032905e-06,425,,11,5.292696018231177e-06,8.323715628520184e-06,0.8494783173480467,0.5401470579312722,False,False
2020-12-01,la_paz_el_alto,1.3817391594003938e-05,438,,12,7.1041248617796e-06,8.323715628520184e-06,0.9449815231066543,0.8065228356939728,False,False
2021-01-01,la_paz_el_alto,9.89520906227002e-06,437,,1,1.1831437128044168e-05,8.323715628520184e-06,-0.16365113086597805,-0.23261583554583504,False,False
2021-02-01,la_paz_el_alto,9.28917184393276e-06,397,,2,9.350419956991373e-06,8.323715628520184e-06,-0.006550306118904947,-0.007358265922583048,False,False
2021-03-01,la_paz_el_alto,8.336400955936936e-06,440,,3,9.947073047144532e-06,8.323715628520184e-06,-0.16192422470145285,-0.19350397864252197,False,False
2021-04-01,la_paz_el_alto,1.764046399987902e-05,424,,4,1.3235605810154211e-05,8.323715628520184e-06,0.33280367010820533,0.5291937382666109,False,False
2021-05-01,la_paz_el_alto,1.6597453551247436e-05,437,,5,1.8671171588221335e-05,8.323715628520184e-06,-0.11106523375759125,-0.2491336957582453,False,False
2021-06-01,la_paz_el_alto,1.917233711172164e-05,425,,6,2.1968011333895777e-05,8.323715628520184e-06,-0.12726114256234566,-0.33586854079866735,False,False
2021-07-01,la_paz_el_alto,2.6836879229538895e-05,440,,7,2.7037113330928337e-05,8.323715628520184e-06,-0.00740589792033719,-0.024055855620939853,False,False
2021-08-01,la_paz_el_alto,2.5923240318729647e-05,440,,8,3.140955691738529e-05,8.323715628520184e-06,-0.17467029583021443,-0.6591186969263413,False,False
2021-09-01,la_paz_el_alto,2.0805913447003145e-05,426,,9,2.3477145364036945e-05,8.323715628520184e-06,-0.11378009871360595,-0.32091820963719064,False,False
2021-10-01,la_paz_el_alto,1.721758252626353e-05,438,,10,1.3843298904235513e-05,8.323715628520184e-06,0.2437485201591374,0.4053818958526706,False,False
2021-11-01,la_paz_el_alto,1.4055946963665337e-05,426,,11,5.292696018231177e-06,8.323715628520184e-06,1.6557253458820114,1.0528051817878017,False,False
2021-12-01,la_paz_el_alto,1.08400852994826e-05,438,,12,7.1041248617796e-06,8.323715628520184e-06,0.5258860887711274,0.44883326202329554,False,False
2022-01-01,la_paz_el_alto,8.032614927943418e-06,433,,1,1.1831437128044168e-05,8.323715628520184e-06,-0.3210786786920724,-0.45638538960708297,False,False
2022-02-01,la_paz_el_alto,9.63757960839668e-06,394,,2,9.350419956991373e-06,8.323715628520184e-06,0.030710882797365224,0.03449897428275778,False,False
2022-03-01,la_paz_el_alto,1.1118385141634536e-05,440,,3,9.947073047144532e-06,8.323715628520184e-06,0.11775444786004141,0.14071985958730357,False,False
2022-04-01,la_paz_el_alto,1.8260789080804656e-05,424,,4,1.3235605810154211e-05,8.323715628520184e-06,0.3796715724787738,0.603718759135917,False,False
2022-05-01,la_paz_el_alto,1.793895855115293e-05,426,,5,1.8671171588221335e-05,8.323715628520184e-06,-0.039216234161241315,-0.08796708942813537,False,False
2022-06-01,la_paz_el_alto,2.0009077067646147e-05,426,,6,2.1968011333895777e-05,8.323715628520184e-06,-0.08917212561826526,-0.2353437279305391,False,False
2022-07-01,la_paz_el_alto,3.311843406241306e-05,439,,7,2.7037113330928337e-05,8.323715628520184e-06,0.22492492660184138,0.7306016931486494,False,False
2022-08-01,la_paz_el_alto,2.9947625255712592e-05,440,,8,3.140955691738529e-05,8.323715628520184e-06,-0.046544166971789314,-0.17563450349788168,False,False
2022-09-01,la_paz_el_alto,2.296963496158285e-05,426,,9,2.3477145364036945e-05,8.323715628520184e-06,-0.021617210891044514,-0.060971617136362975,False,False
2022-10-01,la_paz_el_alto,2.1645219769109232e-05,440,,10,1.3843298904235513e-05,8.323715628520184e-06,0.563588268868964,0.9373122789228168,False,False
2022-11-01,la_paz_el_alto,1.3510897545183312e-05,425,,11,5.292696018231177e-06,8.323715628520184e-06,1.5527439132426624,0.9873236777567798,False,False
2022-12-01,la_paz_el_alto,1.1802664412501936e-05,439,,12,7.1041248617796e-06,8.323715628520184e-06,0.6613818932153932,0.5644762219679118,False,False
2023-01-01,la_paz_el_alto,1.1450476196853458e-05,440,,1,1.1831437128044168e-05,8.323715628520184e-06,-0.032199041170384524,-0.045768133871055605,False,False
2023-02-01,la_paz_el_alto,1.0974714524049816e-05,397,,2,9.350419956991373e-06,8.323715628520184e-06,0.1737135416943436,0.19514056456866438,False,False
2023-03-01,la_paz_el_alto,8.210650135911984e-06,440,,3,9.947073047144532e-06,8.323715628520184e-06,-0.17456621691654484,-0.2086115130222505,False,False
2023-04-01,la_paz_el_alto,1.9987905513531033e-05,426,,4,1.3235605810154211e-05,8.323715628520184e-06,0.5101617410059562,0.8112122043478877,False,False
2023-05-01,la_paz_el_alto,2.7226986322069666e-05,401,,5,1.8671171588221335e-05,8.323715628520184e-06,0.45823662930963294,1.0278840743348905,False,False
2023-06-01,la_paz_el_alto,2.9943303145528168e-05,392,,6,2.1968011333895777e-05,8.323715628520184e-06,0.36304113697022866,0.9581408312780458,False,False
2023-07-01,la_paz_el_alto,3.646144870969624e-05,414,,7,2.7037113330928337e-05,8.323715628520184e-06,0.34857032492397044,1.1322269764330464,False,False
2023-08-01,la_paz_el_alto,3.1922948413812895e-05,439,,8,3.140955691738529e-05,8.323715628520184e-06,0.016345072863585663,0.06167816385611849,False,False
2023-09-01,la_paz_el_alto,2.7239369484932797e-05,425,,9,2.3477145364036945e-05,8.323715628520184e-06,0.16025049308843786,0.45198854559675916,False,False
2023-10-01,la_paz_el_alto,1.7569257852090653e-05,440,,10,1.3843298904235513e-05,8.323715628520184e-06,0.26915253175058873,0.44763169648523327,False,False
