date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,cochabamba,5.1699243018528845e-05,426,20
2018-08-01,cochabamba,5.209026600085948e-05,421,20
2018-09-01,cochabamba,4.717108557925864e-05,414,20
2018-10-01,cochabamba,3.0316346031934313e-05,427,20
2018-11-01,cochabamba,2.5022825262688382e-05,425,20
2018-12-01,cochabamba,2.4697098696587416e-05,426,20
2019-01-01,cochabamba,2.3048676661323616e-05,440,20
2019-02-01,cochabamba,2.7446414124652892e-05,396,20
2019-03-01,cochabamba,2.5248852422369984e-05,440,20
2019-04-01,cochabamba,2.9481994687303743e-05,417,20
2019-05-01,cochabamba,4.7831489347103986e-05,440,20
2019-06-01,cochabamba,5.452997700392357e-05,425,20
2019-07-01,cochabamba,5.48627354404404e-05,437,20
2019-08-01,cochabamba,6.275307450811959e-05,440,20
2019-09-01,cochabamba,5.0374422550914685e-05,425,20
2019-10-01,cochabamba,2.5538363058295858e-05,439,20
2019-11-01,cochabamba,1.7417880590992817e-05,424,20
2019-12-01,cochabamba,2.5264655567433662e-05,440,20
2020-01-01,cochabamba,2.4275065999574438e-05,439,20
2020-02-01,cochabamba,2.6673426660710526e-05,407,20
2020-03-01,cochabamba,2.279069059750775e-05,440,20
2020-04-01,cochabamba,1.1125307024242807e-05,425,20
2020-05-01,cochabamba,1.5114832465517033e-05,438,20
2020-06-01,cochabamba,2.8346448848479773e-05,425,20
2020-07-01,cochabamba,2.968431751092476e-05,439,20
2020-08-01,cochabamba,3.807502126017624e-05,437,20
2020-09-01,cochabamba,4.752894618399159e-05,425,20
2020-10-01,cochabamba,2.4703635674285874e-05,440,20
2020-11-01,cochabamba,2.5298260364422534e-05,425,20
2020-12-01,cochabamba,2.0690659123109794e-05,438,20
2021-01-01,cochabamba,2.0995074169733274e-05,437,20
2021-02-01,cochabamba,2.2879233848080947e-05,397,20
2021-03-01,cochabamba,2.170455031065176e-05,440,20
2021-04-01,cochabamba,2.652999250927018e-05,424,20
2021-05-01,cochabamba,3.1910876428494785e-05,437,20
2021-06-01,cochabamba,3.421292236490519e-05,425,20
2021-07-01,cochabamba,5.1863992693176875e-05,440,20
2021-08-01,cochabamba,4.744310780216983e-05,440,20
2021-09-01,cochabamba,4.222839582284231e-05,426,20
2021-10-01,cochabamba,2.6747525502836524e-05,438,20
2021-11-01,cochabamba,2.2090733234143995e-05,426,20
2021-12-01,cochabamba,2.276757630850589e-05,438,20
2022-01-01,cochabamba,1.8562047622893177e-05,433,20
2022-02-01,cochabamba,2.3963238641829087e-05,394,20
2022-03-01,cochabamba,2.4471757518922762e-05,440,20
2022-04-01,cochabamba,3.16703854128277e-05,424,20
2022-05-01,cochabamba,3.781018106233337e-05,426,20
2022-06-01,cochabamba,4.2172409524469575e-05,426,20
2022-07-01,cochabamba,4.902359394181677e-05,439,20
2022-08-01,cochabamba,5.3762685536350605e-05,440,20
2022-09-01,cochabamba,3.828673841415604e-05,426,20
2022-10-01,cochabamba,3.1760671541870066e-05,440,20
2022-11-01,cochabamba,2.631127270965949e-05,425,20
2022-12-01,cochabamba,2.174114891523801e-05,439,20
2023-01-01,cochabamba,2.6999225816930686e-05,440,20
2023-02-01,cochabamba,1.9863908028059898e-05,397,20
2023-03-01,cochabamba,2.0197598842439246e-05,440,20
2023-04-01,cochabamba,3.0245328278072043e-05,426,20
2023-05-01,cochabamba,4.489129804189606e-05,401,20
2023-06-01,cochabamba,5.231414057783971e-05,392,20
2023-07-01,cochabamba,6.021679281832945e-05,414,20
2023-08-01,cochabamba,6.149972209689129e-05,439,20
2023-09-01,cochabamba,4.2903851539601296e-05,425,20
2023-10-01,cochabamba,3.113741714971245e-05,440,20
2023-11-01,cochabamba,1.9189840554911392e-05,425,20
2023-12-01,cochabamba,1.727741288430299e-05,438,20
2024-01-01,cochabamba,2.1571695465085607e-05,432,20
2024-02-01,cochabamba,1.5461714597920784e-05,407,20
2024-03-01,cochabamba,2.0538029850449534e-05,433,20
2024-04-01,cochabamba,3.2748707489913624e-05,425,20
2024-05-01,cochabamba,4.211122804928175e-05,439,20
2024-06-01,cochabamba,5.3976406913529665e-05,426,20
2024-07-01,cochabamba,5.1151953137128894e-05,438,20
2024-08-01,cochabamba,5.4938120383767064e-05,436,20
2024-09-01,cochabamba,4.435046391777956e-05,424,20
2024-10-01,cochabamba,3.491246813337524e-05,440,20
2024-11-01,cochabamba,2.533827559012776e-05,426,20
2024-12-01,cochabamba,2.4782115532561915e-05,438,20
2025-01-01,cochabamba,2.469011564084862e-05,440,20
2025-02-01,cochabamba,1.924715235585203e-05,397,20
2025-03-01,cochabamba,1.8734210545235032e-05,439,20
2025-04-01,cochabamba,2.6048074703991073e-05,426,20
2025-05-01,cochabamba,4.2594752284829495e-05,438,20
2025-06-01,cochabamba,3.684665661556525e-05,426,20
2025-07-01,cochabamba,5.2377077347154936e-05,440,20
2025-08-01,cochabamba,4.896935115340303e-05,439,20
2025-09-01,cochabamba,3.859396154707986e-05,422,20
2025-10-01,cochabamba,3.3153240655924305e-05,338,20
2025-11-01,cochabamba,2.2256094096591164e-05,386,20
2025-12-01,cochabamba,2.5155697790891053e-05,440,20
2026-01-01,cochabamba,2.0045644389177504e-05,440,20
2026-02-01,cochabamba,2.384211951109081e-05,394,20
2026-03-01,cochabamba,3.075605199077136e-05,439,20
2026-04-01,cochabamba,2.5796992619988878e-05,227,20
