date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,montero,1.246055476041607e-05,426,4
2018-08-01,montero,2.5174467256931728e-05,421,4
2018-09-01,montero,3.415493827399333e-05,414,4
2018-10-01,montero,2.1290098280804266e-05,427,4
2018-11-01,montero,1.3450887474383497e-05,425,4
2018-12-01,montero,7.38630084924195e-06,426,4
2019-01-01,montero,1.238755159326476e-05,440,4
2019-02-01,montero,9.376210759560696e-06,396,4
2019-03-01,montero,9.70205280888839e-06,440,4
2019-04-01,montero,8.554882970804025e-06,417,4
2019-05-01,montero,9.004067298622233e-06,440,4
2019-06-01,montero,1.0259567051423904e-05,425,4
2019-07-01,montero,1.283632331959648e-05,437,4
2019-08-01,montero,2.5779075439338524e-05,440,4
2019-09-01,montero,2.896184253105149e-05,425,4
2019-10-01,montero,2.1841553005786325e-05,439,4
2019-11-01,montero,1.4019345993610833e-05,424,4
2019-12-01,montero,9.660347861258652e-06,440,4
2020-01-01,montero,1.147046756558311e-05,439,4
2020-02-01,montero,1.0893291560766397e-05,407,4
2020-03-01,montero,8.266641966002111e-06,440,4
2020-04-01,montero,8.658920475900878e-06,425,4
2020-05-01,montero,7.742723249220704e-06,438,4
2020-06-01,montero,8.438630735211282e-06,425,4
2020-07-01,montero,1.4802567018593502e-05,439,4
2020-08-01,montero,2.3540045418697386e-05,437,4
2020-09-01,montero,2.8829242611070822e-05,425,4
2020-10-01,montero,1.7239827972766018e-05,440,4
2020-11-01,montero,1.5334665300096396e-05,425,4
2020-12-01,montero,1.01677607646142e-05,438,4
2021-01-01,montero,7.510571708058775e-06,437,4
2021-02-01,montero,9.37301381584312e-06,397,4
2021-03-01,montero,7.775159868323584e-06,440,4
2021-04-01,montero,8.384902320588107e-06,424,4
2021-05-01,montero,1.0616061013696941e-05,437,4
2021-06-01,montero,1.343760783550002e-05,425,4
2021-07-01,montero,1.4988129370018478e-05,440,4
2021-08-01,montero,4.071576510101454e-05,440,4
2021-09-01,montero,2.943250315604199e-05,426,4
2021-10-01,montero,2.8955781379752676e-05,438,4
2021-11-01,montero,1.4427596205550291e-05,426,4
2021-12-01,montero,1.4621346049480176e-05,438,4
2022-01-01,montero,1.3571090038748582e-05,433,4
2022-02-01,montero,1.1719502715333872e-05,394,4
2022-03-01,montero,1.0252310167229626e-05,440,4
2022-04-01,montero,6.475684579832355e-06,424,4
2022-05-01,montero,1.0486679556509567e-05,426,4
2022-06-01,montero,1.3450498665132861e-05,426,4
2022-07-01,montero,1.637241173978257e-05,439,4
2022-08-01,montero,2.8054204344351305e-05,440,4
2022-09-01,montero,3.38819994202214e-05,426,4
2022-10-01,montero,2.141882484582075e-05,440,4
2022-11-01,montero,1.63962850562055e-05,425,4
2022-12-01,montero,1.2553930144895117e-05,439,4
2023-01-01,montero,9.745082925270157e-06,440,4
2023-02-01,montero,7.82529362827486e-06,397,4
2023-03-01,montero,1.0855113861440557e-05,440,4
2023-04-01,montero,9.825721188407259e-06,426,4
2023-05-01,montero,8.048587266010696e-06,401,4
2023-06-01,montero,9.25648509415958e-06,392,4
2023-07-01,montero,1.584307700297157e-05,414,4
2023-08-01,montero,2.5359577004673742e-05,439,4
2023-09-01,montero,3.0899357626825835e-05,425,4
2023-10-01,montero,3.2037149784436534e-05,440,4
2023-11-01,montero,2.040433096570123e-05,425,4
2023-12-01,montero,1.3207546271738887e-05,438,4
2024-01-01,montero,1.070031262078773e-05,432,4
2024-02-01,montero,1.0861167861452862e-05,407,4
2024-03-01,montero,9.795687718875207e-06,433,4
2024-04-01,montero,9.501318310490702e-06,425,4
2024-05-01,montero,1.1046449972262056e-05,439,4
2024-06-01,montero,9.95612023164261e-06,426,4
2024-07-01,montero,2.1869920075226904e-05,438,4
2024-08-01,montero,3.5022662109566e-05,436,4
2024-09-01,montero,5.0568448932660755e-05,424,4
2024-10-01,montero,2.9126128610526087e-05,440,4
2024-11-01,montero,1.385160321304537e-05,426,4
2024-12-01,montero,1.1503767702626437e-05,438,4
2025-01-01,montero,1.2822511603361836e-05,440,4
2025-02-01,montero,1.281667843556723e-05,397,4
2025-03-01,montero,9.55245044733292e-06,439,4
2025-04-01,montero,8.74128153583507e-06,426,4
2025-05-01,montero,9.062941930735433e-06,438,4
2025-06-01,montero,9.755119386552069e-06,426,4
2025-07-01,montero,1.8445249976977988e-05,440,4
2025-08-01,montero,2.57498200305671e-05,439,4
2025-09-01,montero,3.4204235269765475e-05,422,4
2025-10-01,montero,2.2861504701860864e-05,338,4
2025-11-01,montero,1.1773534372901733e-05,386,4
2025-12-01,montero,8.284720441067278e-06,440,4
2026-01-01,montero,1.1825172086252758e-05,440,4
2026-02-01,montero,1.147475009657828e-05,394,4
2026-03-01,montero,9.59747997281842e-06,439,4
2026-04-01,montero,9.093194532819618e-06,227,4
