date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,oruro,6.192971338359651e-06,426,4
2018-08-01,oruro,1.0941691105288009e-05,421,4
2018-09-01,oruro,1.0039790427659562e-05,414,4
2018-10-01,oruro,1.0916360448724264e-05,427,4
2018-11-01,oruro,1.0602815007684241e-05,425,4
2018-12-01,oruro,8.389344416918007e-06,426,4
2019-01-01,oruro,8.520585438228103e-06,440,4
2019-02-01,oruro,8.089131924460315e-06,396,4
2019-03-01,oruro,7.254031366646674e-06,440,4
2019-04-01,oruro,6.811321626337296e-06,417,4
2019-05-01,oruro,5.701160904540143e-06,440,4
2019-06-01,oruro,8.152454125461835e-06,425,4
2019-07-01,oruro,8.99718561141669e-06,437,4
2019-08-01,oruro,1.2391267614737572e-05,440,4
2019-09-01,oruro,1.2674054741867309e-05,425,4
2019-10-01,oruro,6.2755115287373665e-06,439,4
2019-11-01,oruro,5.544760147321889e-06,424,4
2019-12-01,oruro,7.5905715904932394e-06,440,4
2020-01-01,oruro,1.0093078054845564e-05,439,4
2020-02-01,oruro,6.097820545237442e-06,407,4
2020-03-01,oruro,5.540792351090681e-06,440,4
2020-04-01,oruro,4.362839030109429e-06,425,4
2020-05-01,oruro,3.274138541549525e-06,438,4
2020-06-01,oruro,4.640048095323474e-06,425,4
2020-07-01,oruro,9.065342205764773e-06,439,4
2020-08-01,oruro,9.162379458536266e-06,437,4
2020-09-01,oruro,1.4657500359400723e-05,425,4
2020-10-01,oruro,6.890606970098488e-06,440,4
2020-11-01,oruro,3.4737418852945854e-06,425,4
2020-12-01,oruro,3.377103785184828e-06,438,4
2021-01-01,oruro,8.761608774312874e-06,437,4
2021-02-01,oruro,7.930768611494456e-06,397,4
2021-03-01,oruro,7.486447865167086e-06,440,4
2021-04-01,oruro,6.273591659489671e-06,424,4
2021-05-01,oruro,6.042695161300651e-06,437,4
2021-06-01,oruro,6.1080163836143975e-06,425,4
2021-07-01,oruro,8.799418501750195e-06,440,4
2021-08-01,oruro,9.038155910816274e-06,440,4
2021-09-01,oruro,1.1618958774059738e-05,426,4
2021-10-01,oruro,5.369839960991214e-06,438,4
2021-11-01,oruro,5.38465004591394e-06,426,4
2021-12-01,oruro,9.69284174435615e-06,438,4
2022-01-01,oruro,6.786217841425489e-06,433,4
2022-02-01,oruro,6.5504151123757216e-06,394,4
2022-03-01,oruro,5.753639333435318e-06,440,4
2022-04-01,oruro,4.52901764678787e-06,424,4
2022-05-01,oruro,6.5693517439900715e-06,426,4
2022-06-01,oruro,6.9154384867880955e-06,426,4
2022-07-01,oruro,9.393674106231987e-06,439,4
2022-08-01,oruro,1.0814864221382535e-05,440,4
2022-09-01,oruro,9.105169737444455e-06,426,4
2022-10-01,oruro,7.310317278472519e-06,440,4
2022-11-01,oruro,6.758491975053247e-06,425,4
2022-12-01,oruro,7.651205469693299e-06,439,4
2023-01-01,oruro,8.143930853775769e-06,440,4
2023-02-01,oruro,7.248070946336238e-06,397,4
2023-03-01,oruro,6.022367491748447e-06,440,4
2023-04-01,oruro,7.1861649245686904e-06,426,4
2023-05-01,oruro,1.075406876281468e-05,401,4
2023-06-01,oruro,1.2562086902674902e-05,392,4
2023-07-01,oruro,1.2769443052317794e-05,414,4
2023-08-01,oruro,1.2208353333370226e-05,439,4
2023-09-01,oruro,1.2538877538878781e-05,425,4
2023-10-01,oruro,6.460372371300586e-06,440,4
2023-11-01,oruro,6.257386562599834e-06,425,4
2023-12-01,oruro,5.905020922491007e-06,438,4
2024-01-01,oruro,6.8441275583040125e-06,432,4
2024-02-01,oruro,6.549401707883573e-06,407,4
2024-03-01,oruro,3.6936544936339375e-06,433,4
2024-04-01,oruro,7.619579238682607e-06,425,4
2024-05-01,oruro,7.695971932194529e-06,439,4
2024-06-01,oruro,1.0489338415326275e-05,426,4
2024-07-01,oruro,9.755662840030145e-06,438,4
2024-08-01,oruro,1.0858762957904679e-05,436,4
2024-09-01,oruro,9.357269375787691e-06,424,4
2024-10-01,oruro,1.014186960719297e-05,440,4
2024-11-01,oruro,9.888174365848594e-06,426,4
2024-12-01,oruro,8.92790435472205e-06,438,4
2025-01-01,oruro,7.811909544277322e-06,440,4
2025-02-01,oruro,7.76789958563385e-06,397,4
2025-03-01,oruro,5.688306388694651e-06,439,4
2025-04-01,oruro,7.935962638929333e-06,426,4
2025-05-01,oruro,1.0800846892758123e-05,438,4
2025-06-01,oruro,5.6278784778754125e-06,426,4
2025-07-01,oruro,1.2137718885868642e-05,440,4
2025-08-01,oruro,9.662228519020469e-06,439,4
2025-09-01,oruro,1.106441586626239e-05,422,4
2025-10-01,oruro,1.0218489103152137e-05,338,4
2025-11-01,oruro,8.63044805769297e-06,386,4
2025-12-01,oruro,1.3990356068987163e-05,440,4
2026-01-01,oruro,9.0941308925361e-06,440,4
2026-02-01,oruro,7.044244271203555e-06,394,4
2026-03-01,oruro,9.772498376291784e-06,439,4
2026-04-01,oruro,7.573848769656831e-06,227,4
