date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,potosi,5.397828434869555e-06,426,2
2018-08-01,potosi,1.0612172732254325e-05,421,2
2018-09-01,potosi,1.1186030246895736e-05,414,2
2018-10-01,potosi,6.869446017732881e-06,427,2
2018-11-01,potosi,7.727582291940237e-06,425,2
2018-12-01,potosi,7.96878636471609e-06,426,2
2019-01-01,potosi,5.612667951049627e-06,440,2
2019-02-01,potosi,7.600233305585156e-06,396,2
2019-03-01,potosi,6.593042856247485e-06,440,2
2019-04-01,potosi,6.986136867300653e-06,417,2
2019-05-01,potosi,7.665735251495101e-06,440,2
2019-06-01,potosi,8.180177998530342e-06,425,2
2019-07-01,potosi,1.0747463452016734e-05,437,2
2019-08-01,potosi,1.5435626329868365e-05,440,2
2019-09-01,potosi,1.4127637666912499e-05,425,2
2019-10-01,potosi,8.277948841238848e-06,439,2
2019-11-01,potosi,4.810282252004884e-06,424,2
2019-12-01,potosi,6.124759652047422e-06,440,2
2020-01-01,potosi,1.127673423343737e-05,439,2
2020-02-01,potosi,8.671555718524163e-06,407,2
2020-03-01,potosi,6.002300196226788e-06,440,2
2020-04-01,potosi,3.9202427778524275e-06,425,2
2020-05-01,potosi,3.673333781019571e-06,438,2
2020-06-01,potosi,4.9600570510219215e-06,425,2
2020-07-01,potosi,6.93439957070427e-06,439,2
2020-08-01,potosi,1.0438517551706204e-05,437,2
2020-09-01,potosi,1.2173456043491468e-05,425,2
2020-10-01,potosi,8.375239683575669e-06,440,2
2020-11-01,potosi,6.8925252593629315e-06,425,2
2020-12-01,potosi,5.712579721113195e-06,438,2
2021-01-01,potosi,4.768404334182504e-06,437,2
2021-02-01,potosi,9.219074671678659e-06,397,2
2021-03-01,potosi,4.442590847305705e-06,440,2
2021-04-01,potosi,6.20534773556965e-06,424,2
2021-05-01,potosi,4.65810559293479e-06,437,2
2021-06-01,potosi,7.022971144898147e-06,425,2
2021-07-01,potosi,6.844304464911119e-06,440,2
2021-08-01,potosi,1.1989955637169129e-05,440,2
2021-09-01,potosi,1.2986696492117512e-05,426,2
2021-10-01,potosi,5.695402366787269e-06,438,2
2021-11-01,potosi,1.8608678433984627e-06,426,2
2021-12-01,potosi,9.692399389513562e-06,438,2
2022-01-01,potosi,1.3901717933189887e-06,433,2
2022-02-01,potosi,5.014475667976172e-06,394,2
2022-03-01,potosi,3.881218270755358e-06,440,2
2022-04-01,potosi,5.925853485345168e-06,424,2
2022-05-01,potosi,6.425646600067197e-06,426,2
2022-06-01,potosi,8.350182351690742e-06,426,2
2022-07-01,potosi,9.754539902783334e-06,439,2
2022-08-01,potosi,1.051533561166239e-05,440,2
2022-09-01,potosi,1.0426139902127345e-05,426,2
2022-10-01,potosi,8.275886239591788e-06,440,2
2022-11-01,potosi,7.010500875448195e-06,425,2
2022-12-01,potosi,5.045899528166675e-06,439,2
2023-01-01,potosi,7.546300916383377e-06,440,2
2023-02-01,potosi,7.525022311181292e-06,397,2
2023-03-01,potosi,4.8823371727929605e-06,440,2
2023-04-01,potosi,7.259019586695432e-06,426,2
2023-05-01,potosi,7.3700651523804344e-06,401,2
2023-06-01,potosi,1.0712579860705513e-05,392,2
2023-07-01,potosi,1.1999372565658149e-05,414,2
2023-08-01,potosi,1.0354033482217578e-05,439,2
2023-09-01,potosi,1.1287884798824388e-05,425,2
2023-10-01,potosi,8.428316647412998e-06,440,2
2023-11-01,potosi,1.3326530236204647e-06,425,2
2023-12-01,potosi,5.699427054739083e-06,438,2
2024-01-01,potosi,7.841957869203873e-06,432,2
2024-02-01,potosi,9.491473626443587e-06,407,2
2024-03-01,potosi,6.6748527398194426e-06,433,2
2024-04-01,potosi,1.0060168530385716e-05,425,2
2024-05-01,potosi,5.434091936456648e-06,439,2
2024-06-01,potosi,8.885356644692252e-06,426,2
2024-07-01,potosi,1.0597322414976252e-05,438,2
2024-08-01,potosi,1.0248030906211109e-05,436,2
2024-09-01,potosi,1.4427142982624739e-05,424,2
2024-10-01,potosi,9.950506085619251e-06,440,2
2024-11-01,potosi,4.4553869473384345e-06,426,2
2024-12-01,potosi,7.1587989444983615e-06,438,2
2025-01-01,potosi,1.0524320559977342e-05,440,2
2025-02-01,potosi,6.921075520968085e-06,397,2
2025-03-01,potosi,7.812998117456474e-06,439,2
2025-04-01,potosi,8.141890724925933e-06,426,2
2025-05-01,potosi,9.742099853156411e-06,438,2
2025-06-01,potosi,5.280393406783687e-06,426,2
2025-07-01,potosi,1.2703565431276263e-05,440,2
2025-08-01,potosi,8.15532000036871e-06,439,2
2025-09-01,potosi,1.126278733107025e-05,422,2
2025-10-01,potosi,7.364607750759853e-06,338,2
2025-11-01,potosi,7.540028795935249e-06,386,2
2025-12-01,potosi,1.0033906093065526e-05,440,2
2026-01-01,potosi,5.816143970123834e-06,440,2
2026-02-01,potosi,9.774734348236903e-06,394,2
2026-03-01,potosi,1.069023550032261e-05,439,2
2026-04-01,potosi,7.321662782108738e-06,227,2
