date,roi,no2,n_valid_days
2018-07-01,santa_cruz,1.3702670518902026e-05,426
2018-08-01,santa_cruz,3.244304385131505e-05,421
2018-09-01,santa_cruz,3.6590493092249344e-05,414
2018-10-01,santa_cruz,2.066736941965478e-05,427
2018-11-01,santa_cruz,1.4756973729417412e-05,425
2018-12-01,santa_cruz,8.488498758683296e-06,426
2019-01-01,santa_cruz,1.4519667306765109e-05,440
2019-02-01,santa_cruz,1.0262766765664531e-05,396
2019-03-01,santa_cruz,1.1294356943485756e-05,440
2019-04-01,santa_cruz,1.0019583262093278e-05,417
2019-05-01,santa_cruz,9.304588980598436e-06,440
2019-06-01,santa_cruz,1.1463676921917054e-05,425
2019-07-01,santa_cruz,1.576919324819544e-05,437
2019-08-01,santa_cruz,2.5545218454904594e-05,440
2019-09-01,santa_cruz,3.3203664100689825e-05,425
2019-10-01,santa_cruz,2.227632780089513e-05,439
2019-11-01,santa_cruz,1.7760432104887264e-05,424
2019-12-01,santa_cruz,1.009727394841333e-05,440
2020-01-01,santa_cruz,1.3936782847343367e-05,439
2020-02-01,santa_cruz,1.1942485173965553e-05,407
2020-03-01,santa_cruz,1.134716264411676e-05,440
2020-04-01,santa_cruz,8.50259988810858e-06,425
2020-05-01,santa_cruz,7.7747218197334e-06,438
2020-06-01,santa_cruz,7.868179009408755e-06,425
2020-07-01,santa_cruz,1.587366011532482e-05,439
2020-08-01,santa_cruz,2.2621596361829977e-05,437
2020-09-01,santa_cruz,3.1166061013001244e-05,425
2020-10-01,santa_cruz,1.956450348006579e-05,440
2020-11-01,santa_cruz,1.9687386828643275e-05,425
2020-12-01,santa_cruz,1.4065547678115785e-05,438
2021-01-01,santa_cruz,9.903445102491678e-06,437
2021-02-01,santa_cruz,1.230175649639254e-05,397
2021-03-01,santa_cruz,1.140006165941394e-05,440
2021-04-01,santa_cruz,1.056699096373216e-05,424
2021-05-01,santa_cruz,1.3874852268286099e-05,437
2021-06-01,santa_cruz,1.2290484190071195e-05,425
2021-07-01,santa_cruz,1.63424911967721e-05,440
2021-08-01,santa_cruz,2.9505188382979622e-05,440
2021-09-01,santa_cruz,2.9921254826265636e-05,426
2021-10-01,santa_cruz,2.5148534901254428e-05,438
2021-11-01,santa_cruz,1.9206040697192942e-05,426
2021-12-01,santa_cruz,1.5760541793083984e-05,438
2022-01-01,santa_cruz,1.623179512965274e-05,433
2022-02-01,santa_cruz,1.409406327419663e-05,394
2022-03-01,santa_cruz,1.2572352406321673e-05,440
2022-04-01,santa_cruz,9.661651427647567e-06,424
2022-05-01,santa_cruz,1.4427144634696539e-05,426
2022-06-01,santa_cruz,1.5339416287970224e-05,426
2022-07-01,santa_cruz,1.7266105502154854e-05,439
2022-08-01,santa_cruz,2.8459847440975493e-05,440
2022-09-01,santa_cruz,4.122036450157947e-05,426
2022-10-01,santa_cruz,2.4090762040457223e-05,440
2022-11-01,santa_cruz,1.8634454813462714e-05,425
2022-12-01,santa_cruz,1.7422086417055705e-05,439
2023-01-01,santa_cruz,1.2728851101527428e-05,440
2023-02-01,santa_cruz,9.833017075253513e-06,397
2023-03-01,santa_cruz,1.0989116441037196e-05,440
2023-04-01,santa_cruz,9.75773883518855e-06,426
2023-05-01,santa_cruz,9.35936211272543e-06,401
2023-06-01,santa_cruz,9.666815750833121e-06,392
2023-07-01,santa_cruz,1.7039058069903175e-05,414
2023-08-01,santa_cruz,3.0656258299828615e-05,439
2023-09-01,santa_cruz,4.00456296364152e-05,425
2023-10-01,santa_cruz,3.645195693884564e-05,440
2023-11-01,santa_cruz,2.280297408365015e-05,425
2023-12-01,santa_cruz,1.5041832989929479e-05,438
2024-01-01,santa_cruz,1.3195753824119347e-05,432
2024-02-01,santa_cruz,1.313413070668542e-05,407
2024-03-01,santa_cruz,1.1196149472196259e-05,433
2024-04-01,santa_cruz,1.0183722889758515e-05,425
2024-05-01,santa_cruz,9.501211610315004e-06,439
2024-06-01,santa_cruz,9.017001622101054e-06,426
2024-07-01,santa_cruz,2.250761396443121e-05,438
2024-08-01,santa_cruz,3.1058862573430664e-05,436
2024-09-01,santa_cruz,4.8410564653279136e-05,424
2024-10-01,santa_cruz,2.95379521035684e-05,440
2024-11-01,santa_cruz,1.7944417577899748e-05,426
2024-12-01,santa_cruz,1.2938664234794001e-05,438
2025-01-01,santa_cruz,1.4050255473669164e-05,440
2025-02-01,santa_cruz,1.3898906661337819e-05,397
2025-03-01,santa_cruz,8.724020260312696e-06,439
2025-04-01,santa_cruz,9.61776125697884e-06,426
2025-05-01,santa_cruz,1.0774704798804219e-05,438
2025-06-01,santa_cruz,8.779378178959934e-06,426
2025-07-01,santa_cruz,1.815336987440828e-05,440
2025-08-01,santa_cruz,2.7267963828413827e-05,439
2025-09-01,santa_cruz,3.647052895278255e-05,422
2025-10-01,santa_cruz,2.2578486822201654e-05,338
2025-11-01,santa_cruz,1.359535134673553e-05,386
2025-12-01,santa_cruz,1.1797164017323343e-05,440
2026-01-01,santa_cruz,1.29407566144592e-05,440
2026-02-01,santa_cruz,1.4464306236617601e-05,394
2026-03-01,santa_cruz,1.2693858132376012e-05,439
2026-04-01,santa_cruz,7.4119785967097605e-06,181
