date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,sucre,1.3976917483720152e-05,426,4
2018-08-01,sucre,1.9189686598570173e-05,421,4
2018-09-01,sucre,1.8365382341313308e-05,414,4
2018-10-01,sucre,1.6911488373717163e-05,427,4
2018-11-01,sucre,1.1332776123608333e-05,425,4
2018-12-01,sucre,8.473255808759341e-06,426,4
2019-01-01,sucre,1.030649608203982e-05,440,4
2019-02-01,sucre,9.471835679379422e-06,396,4
2019-03-01,sucre,6.091404268660343e-06,440,4
2019-04-01,sucre,7.427045547876199e-06,417,4
2019-05-01,sucre,1.2330866269449535e-05,440,4
2019-06-01,sucre,1.8836644379875363e-05,425,4
2019-07-01,sucre,1.6965342776847746e-05,437,4
2019-08-01,sucre,2.0749067811245894e-05,440,4
2019-09-01,sucre,2.1038653957545997e-05,425,4
2019-10-01,sucre,9.516279979902091e-06,439,4
2019-11-01,sucre,8.807789710782653e-06,424,4
2019-12-01,sucre,1.0111186082736946e-05,440,4
2020-01-01,sucre,1.4297292614429952e-05,439,4
2020-02-01,sucre,1.0225349478555678e-05,407,4
2020-03-01,sucre,7.356587732371205e-06,440,4
2020-04-01,sucre,6.731392873356837e-06,425,4
2020-05-01,sucre,6.393540265160004e-06,438,4
2020-06-01,sucre,8.181206281099729e-06,425,4
2020-07-01,sucre,1.0065133098961366e-05,439,4
2020-08-01,sucre,1.5791964101401203e-05,437,4
2020-09-01,sucre,2.009361507404836e-05,425,4
2020-10-01,sucre,1.5117450275967031e-05,440,4
2020-11-01,sucre,1.0052482706921224e-05,425,4
2020-12-01,sucre,1.1525571999460722e-05,438,4
2021-01-01,sucre,9.54716468393264e-06,437,4
2021-02-01,sucre,1.1499025907704973e-05,397,4
2021-03-01,sucre,1.0225522632594804e-05,440,4
2021-04-01,sucre,6.657430861386949e-06,424,4
2021-05-01,sucre,9.481555585061799e-06,437,4
2021-06-01,sucre,9.671110013025742e-06,425,4
2021-07-01,sucre,1.2269662422051328e-05,440,4
2021-08-01,sucre,1.4950625033559603e-05,440,4
2021-09-01,sucre,1.842192107347328e-05,426,4
2021-10-01,sucre,7.508981015857574e-06,438,4
2021-11-01,sucre,7.187770897244006e-06,426,4
2021-12-01,sucre,1.0442153553888869e-05,438,4
2022-01-01,sucre,1.1465727200602183e-05,433,4
2022-02-01,sucre,8.61402164563632e-06,394,4
2022-03-01,sucre,9.694532293624567e-06,440,4
2022-04-01,sucre,7.0684464465215335e-06,424,4
2022-05-01,sucre,9.386238253933616e-06,426,4
2022-06-01,sucre,1.1683312287962139e-05,426,4
2022-07-01,sucre,1.1420814369129971e-05,439,4
2022-08-01,sucre,1.6863738349144097e-05,440,4
2022-09-01,sucre,1.610168866208663e-05,426,4
2022-10-01,sucre,1.2599202815074274e-05,440,4
2022-11-01,sucre,1.0582518563464812e-05,425,4
2022-12-01,sucre,5.669033139775965e-06,439,4
2023-01-01,sucre,7.229799474669218e-06,440,4
2023-02-01,sucre,6.941833285555563e-06,397,4
2023-03-01,sucre,7.0197934205150074e-06,440,4
2023-04-01,sucre,7.961616761648801e-06,426,4
2023-05-01,sucre,1.235981489090751e-05,401,4
2023-06-01,sucre,1.3455659596354199e-05,392,4
2023-07-01,sucre,1.4934059396702773e-05,414,4
2023-08-01,sucre,2.1075174143085146e-05,439,4
2023-09-01,sucre,1.7063306896450377e-05,425,4
2023-10-01,sucre,1.037182429366318e-05,440,4
2023-11-01,sucre,8.950059890888863e-06,425,4
2023-12-01,sucre,7.047115298515806e-06,438,4
2024-01-01,sucre,6.30419265670607e-06,432,4
2024-02-01,sucre,8.548031281746297e-06,407,4
2024-03-01,sucre,7.021076127497267e-06,433,4
2024-04-01,sucre,8.197868845617403e-06,425,4
2024-05-01,sucre,1.317617216269908e-05,439,4
2024-06-01,sucre,1.4463071402443522e-05,426,4
2024-07-01,sucre,1.601339411470546e-05,438,4
2024-08-01,sucre,1.5629082585520076e-05,436,4
2024-09-01,sucre,1.6756260874940553e-05,424,4
2024-10-01,sucre,1.4860831397190008e-05,440,4
2024-11-01,sucre,9.762326179799922e-06,426,4
2024-12-01,sucre,5.808581877217955e-06,438,4
2025-01-01,sucre,9.000134331002075e-06,440,4
2025-02-01,sucre,9.681232621932184e-06,397,4
2025-03-01,sucre,6.747956401056351e-06,439,4
2025-04-01,sucre,7.681438426608486e-06,426,4
2025-05-01,sucre,1.1494533365538913e-05,438,4
2025-06-01,sucre,7.791046810341272e-06,426,4
2025-07-01,sucre,1.508322161901025e-05,440,4
2025-08-01,sucre,1.4824357362686266e-05,439,4
2025-09-01,sucre,1.4396142297914367e-05,422,4
2025-10-01,sucre,1.4566734203921914e-05,338,4
2025-11-01,sucre,7.969647001023669e-06,386,4
2025-12-01,sucre,1.0852074455312708e-05,440,4
2026-01-01,sucre,1.043177272538033e-05,440,4
2026-02-01,sucre,1.1267089205533626e-05,394,4
2026-03-01,sucre,8.328584961067336e-06,439,4
2026-04-01,sucre,7.601793134157951e-06,227,4
