date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,tarija,1.6890030556598077e-05,426,4
2018-08-01,tarija,1.87460084469211e-05,421,4
2018-09-01,tarija,1.7254503310046358e-05,414,4
2018-10-01,tarija,2.2242972223774785e-05,427,4
2018-11-01,tarija,1.1933718900290621e-05,425,4
2018-12-01,tarija,8.292021365342903e-06,426,4
2019-01-01,tarija,1.4720138559996348e-05,440,4
2019-02-01,tarija,1.0081809796301613e-05,396,4
2019-03-01,tarija,9.758127256724312e-06,440,4
2019-04-01,tarija,9.740898602454826e-06,417,4
2019-05-01,tarija,1.1913515372870132e-05,440,4
2019-06-01,tarija,1.4921638688759502e-05,425,4
2019-07-01,tarija,1.8523071925684154e-05,437,4
2019-08-01,tarija,1.976607454024805e-05,440,4
2019-09-01,tarija,1.89245425008008e-05,425,4
2019-10-01,tarija,1.1372383861589717e-05,439,4
2019-11-01,tarija,9.621583552422862e-06,424,4
2019-12-01,tarija,1.078317562989116e-05,440,4
2020-01-01,tarija,1.2723608712503973e-05,439,4
2020-02-01,tarija,1.2105990036029056e-05,407,4
2020-03-01,tarija,1.049628610737841e-05,440,4
2020-04-01,tarija,6.911680215395438e-06,425,4
2020-05-01,tarija,7.927504448376195e-06,438,4
2020-06-01,tarija,8.154710399426896e-06,425,4
2020-07-01,tarija,1.1363178983629144e-05,439,4
2020-08-01,tarija,1.615721667663684e-05,437,4
2020-09-01,tarija,1.8648351286612133e-05,425,4
2020-10-01,tarija,1.3398028014789168e-05,440,4
2020-11-01,tarija,1.3238702887225724e-05,425,4
2020-12-01,tarija,1.0992278555840751e-05,438,4
2021-01-01,tarija,8.591406428656634e-06,437,4
2021-02-01,tarija,1.0148836077136655e-05,397,4
2021-03-01,tarija,7.417907735406398e-06,440,4
2021-04-01,tarija,1.0607981745705784e-05,424,4
2021-05-01,tarija,1.2216053197694543e-05,437,4
2021-06-01,tarija,1.1445568464466592e-05,425,4
2021-07-01,tarija,1.3760897172374595e-05,440,4
2021-08-01,tarija,1.5158914569625576e-05,440,4
2021-09-01,tarija,1.963074806953835e-05,426,4
2021-10-01,tarija,8.704814137520808e-06,438,4
2021-11-01,tarija,9.191543314516988e-06,426,4
2021-12-01,tarija,7.45695660503349e-06,438,4
2022-01-01,tarija,7.790997069202174e-06,433,4
2022-02-01,tarija,1.0481966392081345e-05,394,4
2022-03-01,tarija,7.330271465900426e-06,440,4
2022-04-01,tarija,1.1457188300853284e-05,424,4
2022-05-01,tarija,1.3008584749779435e-05,426,4
2022-06-01,tarija,1.4163743629581094e-05,426,4
2022-07-01,tarija,1.714645832688964e-05,439,4
2022-08-01,tarija,1.7509349162841697e-05,440,4
2022-09-01,tarija,1.4698815525304042e-05,426,4
2022-10-01,tarija,1.489428498061756e-05,440,4
2022-11-01,tarija,1.3469181695379915e-05,425,4
2022-12-01,tarija,9.479533761233792e-06,439,4
2023-01-01,tarija,1.131260833274709e-05,440,4
2023-02-01,tarija,8.347404966386896e-06,397,4
2023-03-01,tarija,5.99676702725519e-06,440,4
2023-04-01,tarija,9.111856255778781e-06,426,4
2023-05-01,tarija,1.1762298074087606e-05,401,4
2023-06-01,tarija,1.5889941769779582e-05,392,4
2023-07-01,tarija,1.6924382550610336e-05,414,4
2023-08-01,tarija,1.6268858851488372e-05,439,4
2023-09-01,tarija,1.9082338040077485e-05,425,4
2023-10-01,tarija,1.8310884583981242e-05,440,4
2023-11-01,tarija,8.63879244618213e-06,425,4
2023-12-01,tarija,8.854387107401486e-06,438,4
2024-01-01,tarija,9.566707220638009e-06,432,4
2024-02-01,tarija,7.554390929655089e-06,407,4
2024-03-01,tarija,8.66975002376286e-06,433,4
2024-04-01,tarija,1.430610236215013e-05,425,4
2024-05-01,tarija,1.600258142401662e-05,439,4
2024-06-01,tarija,1.784519500837854e-05,426,4
2024-07-01,tarija,1.818482514874903e-05,438,4
2024-08-01,tarija,1.6862791129383045e-05,436,4
2024-09-01,tarija,2.1839022475665018e-05,424,4
2024-10-01,tarija,2.0218691753436886e-05,440,4
2024-11-01,tarija,1.2176107541316677e-05,426,4
2024-12-01,tarija,1.1060254414502226e-05,438,4
2025-01-01,tarija,8.740892397266166e-06,440,4
2025-02-01,tarija,9.099356727562509e-06,397,4
2025-03-01,tarija,6.893233204827822e-06,439,4
2025-04-01,tarija,1.2670706170558422e-05,426,4
2025-05-01,tarija,1.3617401833851717e-05,438,4
2025-06-01,tarija,9.137522937049146e-06,426,4
2025-07-01,tarija,1.837198021968412e-05,440,4
2025-08-01,tarija,1.5006341878409302e-05,439,4
2025-09-01,tarija,1.6880585182205062e-05,422,4
2025-10-01,tarija,1.427715922049409e-05,338,4
2025-11-01,tarija,1.1797924255829988e-05,386,4
2025-12-01,tarija,1.0983679653428995e-05,440,4
2026-01-01,tarija,1.0891916338597406e-05,440,4
2026-02-01,tarija,1.121170501673097e-05,394,4
2026-03-01,tarija,9.822201865044325e-06,439,4
2026-04-01,tarija,1.1447147613849382e-05,227,4
