date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,trinidad,1.4987384694510483e-05,426,4
2018-08-01,trinidad,3.46256094959259e-05,421,4
2018-09-01,trinidad,3.683342709340034e-05,414,4
2018-10-01,trinidad,1.6509512207287134e-05,427,4
2018-11-01,trinidad,1.0200835213867237e-05,425,4
2018-12-01,trinidad,6.798908134569147e-06,426,4
2019-01-01,trinidad,9.577480160225336e-06,440,4
2019-02-01,trinidad,8.944304763870967e-06,396,4
2019-03-01,trinidad,5.611395236984094e-06,440,4
2019-04-01,trinidad,5.954448790219621e-06,417,4
2019-05-01,trinidad,8.140602306684357e-06,440,4
2019-06-01,trinidad,8.45361321571199e-06,425,4
2019-07-01,trinidad,1.3340991469661841e-05,437,4
2019-08-01,trinidad,2.3578075799678566e-05,440,4
2019-09-01,trinidad,3.907136807464326e-05,425,4
2019-10-01,trinidad,2.39665664030459e-05,439,4
2019-11-01,trinidad,1.0623596449055988e-05,424,4
2019-12-01,trinidad,6.88282641447986e-06,440,4
2020-01-01,trinidad,9.803867337004597e-06,439,4
2020-02-01,trinidad,8.240670268836513e-06,407,4
2020-03-01,trinidad,8.2255574251791e-06,440,4
2020-04-01,trinidad,6.296418512691544e-06,425,4
2020-05-01,trinidad,6.299754167265539e-06,438,4
2020-06-01,trinidad,8.830053158532115e-06,425,4
2020-07-01,trinidad,1.5848543524865016e-05,439,4
2020-08-01,trinidad,2.4885746403563342e-05,437,4
2020-09-01,trinidad,3.469036849528957e-05,425,4
2020-10-01,trinidad,1.526068041872831e-05,440,4
2020-11-01,trinidad,1.4846836280774539e-05,425,4
2020-12-01,trinidad,1.117096689614491e-05,438,4
2021-01-01,trinidad,1.2141146269510872e-05,437,4
2021-02-01,trinidad,1.1361090828979856e-05,397,4
2021-03-01,trinidad,7.2311953267126974e-06,440,4
2021-04-01,trinidad,7.662258489507033e-06,424,4
2021-05-01,trinidad,8.227237179594237e-06,437,4
2021-06-01,trinidad,1.1512588565773092e-05,425,4
2021-07-01,trinidad,2.1779082821560675e-05,440,4
2021-08-01,trinidad,3.929689692709228e-05,440,4
2021-09-01,trinidad,3.35474157867206e-05,426,4
2021-10-01,trinidad,2.871199716299647e-05,438,4
2021-11-01,trinidad,1.1933913769437214e-05,426,4
2021-12-01,trinidad,9.602359684357469e-06,438,4
2022-01-01,trinidad,9.755372257274675e-06,433,4
2022-02-01,trinidad,7.714948727192165e-06,394,4
2022-03-01,trinidad,9.335406191010514e-06,440,4
2022-04-01,trinidad,6.791861485618047e-06,424,4
2022-05-01,trinidad,8.14511874778199e-06,426,4
2022-06-01,trinidad,1.0750826954133133e-05,426,4
2022-07-01,trinidad,2.628508830955903e-05,439,4
2022-08-01,trinidad,3.4235017893079515e-05,440,4
2022-09-01,trinidad,5.5641917631696206e-05,426,4
2022-10-01,trinidad,2.2672946293461422e-05,440,4
2022-11-01,trinidad,1.4064595369187556e-05,425,4
2022-12-01,trinidad,9.11366581377367e-06,439,4
2023-01-01,trinidad,7.4307689702153005e-06,440,4
2023-02-01,trinidad,8.791836812135706e-06,397,4
2023-03-01,trinidad,6.897480792494885e-06,440,4
2023-04-01,trinidad,7.687055677286598e-06,426,4
2023-05-01,trinidad,6.627231571965479e-06,401,4
2023-06-01,trinidad,1.093060064162129e-05,392,4
2023-07-01,trinidad,1.8885629290339757e-05,414,4
2023-08-01,trinidad,3.0628204281681976e-05,439,4
2023-09-01,trinidad,4.758187326371313e-05,425,4
2023-10-01,trinidad,4.343910163823457e-05,440,4
2023-11-01,trinidad,1.9277223022512772e-05,425,4
2023-12-01,trinidad,9.358805185229729e-06,438,4
2024-01-01,trinidad,5.695063535072766e-06,432,4
2024-02-01,trinidad,9.481148188495286e-06,407,4
2024-03-01,trinidad,5.129946741143027e-06,433,4
2024-04-01,trinidad,8.038994423805887e-06,425,4
2024-05-01,trinidad,6.899450458505731e-06,439,4
2024-06-01,trinidad,9.551722942547846e-06,426,4
2024-07-01,trinidad,2.44029858751191e-05,438,4
2024-08-01,trinidad,4.0596677681112075e-05,436,4
2024-09-01,trinidad,5.908584804036859e-05,424,4
2024-10-01,trinidad,4.045720937682788e-05,440,4
2024-11-01,trinidad,1.064678245965823e-05,426,4
2024-12-01,trinidad,9.937378391583427e-06,438,4
2025-01-01,trinidad,5.281397027233071e-06,440,4
2025-02-01,trinidad,8.630205133306394e-06,397,4
2025-03-01,trinidad,7.197223622711648e-06,439,4
2025-04-01,trinidad,6.077682290327982e-06,426,4
2025-05-01,trinidad,8.762352062927182e-06,438,4
2025-06-01,trinidad,9.773062243785214e-06,426,4
2025-07-01,trinidad,1.397261756185781e-05,440,4
2025-08-01,trinidad,2.713083739458693e-05,439,4
2025-09-01,trinidad,3.214026240132418e-05,422,4
2025-10-01,trinidad,2.292378546901734e-05,338,4
2025-11-01,trinidad,6.226679478076346e-06,386,4
2025-12-01,trinidad,5.334255893109328e-06,440,4
2026-01-01,trinidad,9.082563895965828e-06,440,4
2026-02-01,trinidad,9.585838119374238e-06,394,4
2026-03-01,trinidad,6.67958998488693e-06,439,4
2026-04-01,trinidad,7.4001987487098534e-06,227,4
