date,roi,no2,n_valid_days,n_native_pixels
2018-07-01,yacuiba,9.16063650529755e-06,426,4
2018-08-01,yacuiba,1.733096393271072e-05,421,4
2018-09-01,yacuiba,1.819331011220005e-05,414,4
2018-10-01,yacuiba,1.8274609849928127e-05,427,4
2018-11-01,yacuiba,1.4707430953750311e-05,425,4
2018-12-01,yacuiba,6.603304901890689e-06,426,4
2019-01-01,yacuiba,1.5887128112462464e-05,440,4
2019-02-01,yacuiba,7.880988356225706e-06,396,4
2019-03-01,yacuiba,5.191623021417484e-06,440,4
2019-04-01,yacuiba,8.053765141712757e-06,417,4
2019-05-01,yacuiba,5.750447987167459e-06,440,4
2019-06-01,yacuiba,8.395116237613735e-06,425,4
2019-07-01,yacuiba,9.904546775181535e-06,437,4
2019-08-01,yacuiba,1.4901299892755037e-05,440,4
2019-09-01,yacuiba,1.9441887701457923e-05,425,4
2019-10-01,yacuiba,1.4004603400434839e-05,439,4
2019-11-01,yacuiba,7.3571738070749065e-06,424,4
2019-12-01,yacuiba,5.770400257751549e-06,440,4
2020-01-01,yacuiba,9.105423613639567e-06,439,4
2020-02-01,yacuiba,7.5962226432324795e-06,407,4
2020-03-01,yacuiba,7.21476141474185e-06,440,4
2020-04-01,yacuiba,6.332137496241398e-06,425,4
2020-05-01,yacuiba,6.292905430894659e-06,438,4
2020-06-01,yacuiba,8.655376707555665e-06,425,4
2020-07-01,yacuiba,9.482322642282084e-06,439,4
2020-08-01,yacuiba,1.9288884025104055e-05,437,4
2020-09-01,yacuiba,2.737178531409274e-05,425,4
2020-10-01,yacuiba,2.8374793904480713e-05,440,4
2020-11-01,yacuiba,1.709073884903014e-05,425,4
2020-12-01,yacuiba,1.0271461485562115e-05,438,4
2021-01-01,yacuiba,1.0373281298236029e-05,437,4
2021-02-01,yacuiba,1.0171231282155475e-05,397,4
2021-03-01,yacuiba,6.04789157584905e-06,440,4
2021-04-01,yacuiba,7.808408088277377e-06,424,4
2021-05-01,yacuiba,7.137246244811534e-06,437,4
2021-06-01,yacuiba,7.971657066240468e-06,425,4
2021-07-01,yacuiba,1.1097312669465945e-05,440,4
2021-08-01,yacuiba,1.7143511968206888e-05,440,4
2021-09-01,yacuiba,1.7561817433218055e-05,426,4
2021-10-01,yacuiba,1.4437218853209653e-05,438,4
2021-11-01,yacuiba,1.8264743515019768e-05,426,4
2021-12-01,yacuiba,1.1021735942977002e-05,438,4
2022-01-01,yacuiba,1.0554823487971331e-05,433,4
2022-02-01,yacuiba,5.9955882341887724e-06,394,4
2022-03-01,yacuiba,6.202634152262928e-06,440,4
2022-04-01,yacuiba,5.975225300255752e-06,424,4
2022-05-01,yacuiba,6.408929163821067e-06,426,4
2022-06-01,yacuiba,8.9793417622808e-06,426,4
2022-07-01,yacuiba,1.4343308079578939e-05,439,4
2022-08-01,yacuiba,1.843849127728647e-05,440,4
2022-09-01,yacuiba,2.522464648455105e-05,426,4
2022-10-01,yacuiba,2.2163473383171364e-05,440,4
2022-11-01,yacuiba,2.852586821393662e-05,425,4
2022-12-01,yacuiba,1.3647120835756128e-05,439,4
2023-01-01,yacuiba,1.6593757994685728e-05,440,4
2023-02-01,yacuiba,7.49339016242316e-06,397,4
2023-03-01,yacuiba,7.518378873512201e-06,440,4
2023-04-01,yacuiba,4.85642342926919e-06,426,4
2023-05-01,yacuiba,6.636263138706893e-06,401,4
2023-06-01,yacuiba,8.524335691184067e-06,392,4
2023-07-01,yacuiba,9.11611734347679e-06,414,4
2023-08-01,yacuiba,1.685460985837153e-05,439,4
2023-09-01,yacuiba,2.1760849339259932e-05,425,4
2023-10-01,yacuiba,2.4828711907164194e-05,440,4
2023-11-01,yacuiba,2.518051624233117e-05,425,4
2023-12-01,yacuiba,1.0851017103299891e-05,438,4
2024-01-01,yacuiba,8.24591593227288e-06,432,4
2024-02-01,yacuiba,9.144096225432783e-06,407,4
2024-03-01,yacuiba,8.45254255570345e-06,433,4
2024-04-01,yacuiba,6.024813168848975e-06,425,4
2024-05-01,yacuiba,5.7620077572756475e-06,439,4
2024-06-01,yacuiba,1.1665896970172778e-05,426,4
2024-07-01,yacuiba,1.1442831487573586e-05,438,4
2024-08-01,yacuiba,1.7919824580650328e-05,436,4
2024-09-01,yacuiba,2.3054083072892854e-05,424,4
2024-10-01,yacuiba,2.598912978380508e-05,440,4
2024-11-01,yacuiba,1.0032404886434963e-05,426,4
2024-12-01,yacuiba,7.958801677188564e-06,438,4
2025-01-01,yacuiba,9.304057236482942e-06,440,4
2025-02-01,yacuiba,1.4021848848451817e-05,397,4
2025-03-01,yacuiba,8.459424102468935e-06,439,4
2025-04-01,yacuiba,5.88383337470719e-06,426,4
2025-05-01,yacuiba,6.152148574606764e-06,438,4
2025-06-01,yacuiba,8.362524546103916e-06,426,4
2025-07-01,yacuiba,1.0191159338414455e-05,440,4
2025-08-01,yacuiba,1.122765912225931e-05,439,4
2025-09-01,yacuiba,1.8037483499908842e-05,422,4
2025-10-01,yacuiba,1.846338540867798e-05,338,4
2025-11-01,yacuiba,1.0810063503425811e-05,386,4
2025-12-01,yacuiba,8.869678027731485e-06,440,4
2026-01-01,yacuiba,8.958285373981337e-06,440,4
2026-02-01,yacuiba,8.968615686944903e-06,394,4
2026-03-01,yacuiba,8.459001380085526e-06,439,4
2026-04-01,yacuiba,5.20810037643028e-06,227,4
