year,department,sol
2012,beni,14967.883530119738
2012,chuquisaca,57716.791787330905
2012,cochabamba,363983.5875074874
2012,la_paz,472684.4785526288
2012,oruro,107217.75635948672
2012,pando,17389.209418295348
2012,potosi,54397.875977073636
2012,santa_cruz,492442.6552791797
2012,tarija,83276.83730241189
2013,beni,21861.44371418902
2013,chuquisaca,87371.22432679699
2013,cochabamba,519547.04965421447
2013,la_paz,699263.5040265974
2013,oruro,154718.96702915232
2013,pando,27298.969912006658
2013,potosi,73174.03966330386
2013,santa_cruz,729659.3632165663
2013,tarija,116056.80004580655
2014,beni,21684.734771171337
2014,chuquisaca,101765.05121766042
2014,cochabamba,573605.9179305247
2014,la_paz,829456.8890619702
2014,oruro,175531.10556576197
2014,pando,27243.84543385073
2014,potosi,86992.9485568159
2014,santa_cruz,821482.1813983757
2014,tarija,127344.76508270386
2015,beni,24745.452733422982
2015,chuquisaca,113570.38281778761
2015,cochabamba,627446.0224367346
2015,la_paz,911790.1941672061
2015,oruro,191261.7277105918
2015,pando,28735.908162579115
2015,potosi,105493.09798221658
2015,santa_cruz,960503.7873558876
2015,tarija,132046.82983496523
2016,beni,29241.12401979398
2016,chuquisaca,122403.972435049
2016,cochabamba,655362.0916987341
2016,la_paz,960681.1794637218
2016,oruro,225556.75947310377
2016,pando,28300.716119019267
2016,potosi,127373.92878721247
2016,santa_cruz,988122.6792638518
2016,tarija,135771.31468602744
2017,beni,28893.639639524747
2017,chuquisaca,127446.70708630192
2017,cochabamba,660468.3493597867
2017,la_paz,961210.0624279449
2017,oruro,232728.7862011913
2017,pando,26612.473140250226
2017,potosi,121754.82697287342
2017,santa_cruz,996541.1163674309
2017,tarija,143660.6360918116
2018,beni,30565.417597727646
2018,chuquisaca,132877.7282835899
2018,cochabamba,684952.8544983141
2018,la_paz,946627.0357114049
2018,oruro,239104.33795679736
2018,pando,27608.215117968204
2018,potosi,116782.68151612482
2018,santa_cruz,1012462.1384009965
2018,tarija,143085.12795553834
2019,beni,36652.872092189595
2019,chuquisaca,132763.07880167782
2019,cochabamba,714341.337080959
2019,la_paz,964754.745180163
2019,oruro,241462.1035649838
2019,pando,25824.10325030066
2019,potosi,118961.53710081476
2019,santa_cruz,1028559.8780856354
2019,tarija,155720.25752910515
2020,beni,40175.20393470333
2020,chuquisaca,133629.39315931723
2020,cochabamba,700850.7695545891
2020,la_paz,948801.9548978729
2020,oruro,245116.18561735653
2020,pando,26059.991854519387
2020,potosi,123939.35604868007
2020,santa_cruz,991194.5808179153
2020,tarija,164761.85312799874
2021,beni,46495.701280431276
2021,chuquisaca,132705.77570621355
2021,cochabamba,710534.6346984188
2021,la_paz,970825.1056384373
2021,oruro,252422.72889625977
2021,pando,26040.47593063798
2021,potosi,128370.6953714974
2021,santa_cruz,1016369.4795962947
2021,tarija,159564.23519124283
2022,beni,47491.71250325091
2022,chuquisaca,143969.40934206205
2022,cochabamba,731908.3719808758
2022,la_paz,988484.4047129416
2022,oruro,262742.36374013906
2022,pando,26758.76226481382
2022,potosi,140992.57134250348
2022,santa_cruz,1147944.0949503554
2022,tarija,167799.09668555998
2023,beni,44620.16972735256
2023,chuquisaca,139986.57121720983
2023,cochabamba,688562.4003530061
2023,la_paz,931435.4236114724
2023,oruro,247688.19208406974
2023,pando,21897.854971332374
2023,potosi,139548.75869880238
2023,santa_cruz,969994.4725410093
2023,tarija,148596.52111710949
2024,beni,42238.300892339714
2024,chuquisaca,132730.41917071503
2024,cochabamba,614768.2435483083
2024,la_paz,956801.4349314366
2024,oruro,241461.42364994116
2024,pando,22414.334165844506
2024,potosi,131125.82989570487
2024,santa_cruz,960098.9610357332
2024,tarija,135047.03481726992
2025,beni,49386.67143614905
2025,chuquisaca,133193.6300820029
2025,cochabamba,632316.2361166258
2025,la_paz,1017818.1187840385
2025,oruro,246165.71971916678
2025,pando,25344.3058849147
2025,potosi,143445.75626098667
2025,santa_cruz,1037287.8521671466
2025,tarija,145295.52981454442
2026,beni,8837.407397489143
2026,chuquisaca,24050.488206340437
2026,cochabamba,105086.56027842528
2026,la_paz,174663.70744358102
2026,oruro,44789.60356607822
2026,pando,2062.781366253459
2026,potosi,24142.436981727715
2026,santa_cruz,194133.3220984529
2026,tarija,25983.257749342658
